"","sample","gene","anova_p","mean_between","mean_intra","fdr"
"6571","M8","ENSG00000261335",0.1013,-0.9691,-1.9479,0.9124
"6572","M8","ENSG00000112304",0.7327,2.4838,2.4496,0.9699
"6573","M8","ENSG00000159409",0.8489,-4.618,-4.4603,0.9779
"6574","M8","ENSG00000226631",0.5231,-5.1822,-5.8151,0.9417
"6575","M8","ENSG00000240669",0.0922,0.309,-0.5153,0.9093
"6576","M8","ENSG00000285000",0.8422,-3.3389,-3.2662,0.9779
"6577","M8","ENSG00000197498",0.9142,2.9732,2.9572,0.9838
"6578","M8","ENSG00000117748",0.9618,4.3104,4.3136,0.992
"6579","M8","ENSG00000185379",0.2274,1.4322,1.5389,0.9297
"6580","M8","ENSG00000101546",0.5717,2.2332,2.1834,0.9526
"6581","M8","ENSG00000058262",0.6992,4.8957,4.774,0.9668
"6582","M8","ENSG00000100991",0.6481,4.8893,4.912,0.9617
"6583","M8","ENSG00000178718",0.4617,1.5745,1.3492,0.9297
"6584","M8","ENSG00000255234",0.8039,-3.8778,-3.672,0.9774
"6585","M8","ENSG00000250011",0.1052,2.5052,1.8856,0.9143
"6586","M8","ENSG00000197140",0.3059,-3.7828,-3.3917,0.9297
"6587","M8","ENSG00000184507",0.7577,-2.9295,-2.8049,0.97
"6588","M8","ENSG00000116871",0.3905,3.8085,3.7286,0.9297
"6589","M8","ENSG00000277634",0.8613,-0.1059,-0.4028,0.9779
"6590","M8","ENSG00000180815",0.565,-2.685,-2.9093,0.9488
"6591","M8","ENSG00000174405",0.6712,2.0962,2.1554,0.9668
"6592","M8","ENSG00000237111",0.6872,4.9164,4.8363,0.9668
"6593","M8","ENSG00000125388",0.0365,-1.0485,-0.581,0.8108
"6594","M8","ENSG00000126243",0.8689,1.0701,1.0553,0.9787
"6595","M8","ENSG00000123485",0.9902,1.5873,1.5859,0.9952
"6596","M8","ENSG00000229534",0.0564,0.6006,-0.0869,0.896
"6597","M8","ENSG00000155760",0.7116,-3.9904,-3.6958,0.9668
"6598","M8","ENSG00000263892",0.3577,0.5883,1.0822,0.9297
"6599","M8","ENSG00000199051",0.6297,-1.1545,-2.1313,0.9617
"6600","M8","ENSG00000231978",0.2384,0.9703,1.4081,0.9297
"6601","M8","ENSG00000148204",0.4945,-1.5918,-1.8266,0.932
"6602","M8","ENSG00000225235",0.4679,-3.6527,-4.893,0.9297
"6603","M8","ENSG00000260778",0.9417,-1.4361,-1.4755,0.9864
"6604","M8","ENSG00000224648",0.5191,-0.7119,-1.4807,0.9381
"6605","M8","ENSG00000279035",0.3038,-0.6966,-0.3662,0.9297
"6606","M8","ENSG00000175202",0.5507,-4.582,-3.8238,0.9459
"6607","M8","ENSG00000076924",0.1636,3.9217,3.7843,0.9297
"6608","M8","ENSG00000226049",0.3141,-2.6217,-2.2564,0.9297
"6609","M8","ENSG00000248340",0.5853,-0.3902,-0.6669,0.9561
"6610","M8","ENSG00000264270",0.6267,0.1824,0.3414,0.9617
"6611","M8","ENSG00000184274",0.246,-4.9117,-3.9784,0.9297
"6612","M8","ENSG00000247627",0.7792,-0.7684,-0.3596,0.9724
"6613","M8","ENSG00000248240",0.091,-0.3384,-1.0392,0.9093
"6614","M8","ENSG00000273901",0.3249,-0.9725,-0.5407,0.9297
"6615","M8","ENSG00000270441",0.8079,-0.6821,-0.7491,0.9779
"6616","M8","ENSG00000219608",0.347,0.8401,0.4324,0.9297
"6617","M8","ENSG00000187862",0.357,0.6544,0.816,0.9297
"6618","M8","ENSG00000174792",0.153,-5.2202,-6.6439,0.9297
"6619","M8","ENSG00000216069",0.2771,-2.6816,-0.8709,0.9297
"6620","M8","ENSG00000130175",0.6496,4.8203,4.7871,0.9617
"6621","M8","ENSG00000157349",0.3879,2.9539,2.875,0.9297
"6622","M8","ENSG00000254865",0.8563,-1.7836,-1.6997,0.9779
"6623","M8","ENSG00000166887",0.9328,3.7692,3.7739,0.9862
"6624","M8","ENSG00000186566",0.7808,2.7622,2.8377,0.9724
"6625","M8","ENSG00000198420",0.7307,1.409,1.4356,0.9699
"6626","M8","ENSG00000219693",0.2959,-5.1234,-3.509,0.9297
"6627","M8","ENSG00000018236",0.6684,-6.5823,-6.6439,0.9666
"6628","M8","ENSG00000168404",0.4648,1.2268,1.3022,0.9297
"6629","M8","ENSG00000101670",0.577,0.2654,0.3174,0.9526
"6630","M8","ENSG00000188636",0.5717,-0.3149,-0.216,0.9526
"6631","M8","ENSG00000185798",0.4506,1.9305,1.8422,0.9297
"6632","M8","ENSG00000031081",0.7127,3.611,3.5974,0.9668
"6633","M8","ENSG00000068097",0.7403,1.6009,1.6302,0.97
"6634","M8","ENSG00000196114",0.7358,0.5811,0.4163,0.9699
"6635","M8","ENSG00000244097",0.5914,0.4733,0.2669,0.9561
"6636","M8","ENSG00000266865",0.1152,0.0351,-0.3157,0.9297
"6637","M8","ENSG00000223356",0.8653,-1.6683,-1.5005,0.9787
"6638","M8","ENSG00000264278",0.9385,0.3847,0.3711,0.9864
"6639","M8","ENSG00000101493",0.1199,3.5169,3.6655,0.9297
"6640","M8","ENSG00000249084",0.5962,-2.6167,-3.3927,0.9561
"6641","M8","ENSG00000108406",0.9743,2.4845,2.4891,0.9942
"6642","M8","ENSG00000263755",0.1548,-3.5862,-1.4356,0.9297
"6643","M8","ENSG00000052749",0.7577,2.4878,2.5229,0.97
"6644","M8","ENSG00000177963",0.827,3.0974,3.0811,0.9779
"6645","M8","ENSG00000135914",0.4562,0.6074,0.4186,0.9297
"6646","M8","ENSG00000247877",0.4874,-3.6522,-2.8367,0.9297
"6647","M8","ENSG00000279361",0.5773,-5.0967,-4.4235,0.9526
"6648","M8","ENSG00000178038",0.2215,-5.3658,-4.6483,0.9297
"6649","M8","ENSG00000239523",0.2691,0.7053,0.9159,0.9297
"6650","M8","ENSG00000249372",0.6161,-0.9619,-0.3924,0.9617
"6651","M8","ENSG00000279879",0.3524,-3.6907,-2.919,0.9297
"6652","M8","ENSG00000099904",0.4608,2.237,2.138,0.9297
"6653","M8","ENSG00000269399",0.3102,-0.0796,0.1421,0.9297
"6654","M8","ENSG00000281691",0.4957,1.3656,1.5078,0.9326
"6655","M8","ENSG00000266302",0.7179,-3.7791,-3.6651,0.967
"6656","M8","ENSG00000237833",0.3187,-1.6092,-1.9794,0.9297
"6657","M8","ENSG00000224967",0.8819,-0.4929,-0.5801,0.9791
"6658","M8","ENSG00000067842",0.1277,-5.8219,-6.6439,0.9297
"6659","M8","ENSG00000246375",0.0232,-3.8496,-1.8385,0.7354
"6660","M8","ENSG00000121350",0.4585,2.797,2.8765,0.9297
"6661","M8","ENSG00000211491",0.2481,-0.8717,0.8425,0.9297
"6662","M8","ENSG00000117009",0.1206,0.2142,0.8589,0.9297
"6663","M8","ENSG00000139437",0.3343,0.9505,0.8264,0.9297
"6664","M8","ENSG00000175592",0.977,0.8701,0.8768,0.9949
"6665","M8","ENSG00000103942",0.3392,-0.443,-0.3235,0.9297
"6666","M8","ENSG00000055957",0.4444,-4.0429,-4.5959,0.9297
"6667","M8","ENSG00000182199",0.9725,5.8852,5.8882,0.9942
"6668","M8","ENSG00000120675",0.9082,1.9993,2.0061,0.9838
"6669","M8","ENSG00000281207",0.5074,1.6827,1.7542,0.9357
"6670","M8","ENSG00000229348",0.2072,-4.9815,-6.6439,0.9297
"6671","M8","ENSG00000249207",0.046,-1.0018,-1.9081,0.8598
"6672","M8","ENSG00000006327",0.4584,-2.3904,-1.9579,0.9297
"6673","M8","ENSG00000253741",0.6286,-3.3996,-3.7363,0.9617
"6674","M8","ENSG00000283696",0.9267,-0.6866,-0.7215,0.9841
"6675","M8","ENSG00000267216",0.4195,0.9707,1.424,0.9297
"6676","M8","ENSG00000199366",0.778,0.8407,0.7048,0.9724
"6677","M8","ENSG00000167900",0.922,3.6076,3.5971,0.9841
"6678","M8","ENSG00000279208",0.7347,0.0218,0.1331,0.9699
"6679","M8","ENSG00000167792",0.9897,3.9469,3.9482,0.9952
"6680","M8","ENSG00000172650",0.9204,1.8857,1.92,0.984
"6681","M8","ENSG00000170409",0.0213,-1.6462,-4.6587,0.7354
"6682","M8","ENSG00000273008",0.5769,0.1699,-0.0269,0.9526
"6683","M8","ENSG00000166169",0.1554,2.5431,2.6779,0.9297
"6684","M8","ENSG00000259049",0.8944,-2.6661,-2.7358,0.9833
