"","D5_U01_LE1","D6_U01_LE1","F7_U01_LE1","M8_U01_LE1","D5_U01_LE2","D6_U01_LE2","F7_U01_LE2","M8_U01_LE2","D5_U01_LE3","D6_U01_LE3","F7_U01_LE3","M8_U01_LE3","D5_U02_LE4","D6_U02_LE4","F7_U02_LE4","M8_U02_LE4","D5_U03_LE5","D6_U03_LE5","F7_U03_LE5","M8_U03_LE5","D5_U04_LE6","D6_U04_LE6","F7_U04_LE6","M8_U04_LE6","D5_U05_LE7","D6_U05_LE7","F7_U05_LE7","M8_U05_LE7","D5_U06_LE8","D6_U06_LE8","F7_U06_LE8","M8_U06_LE8","D5_U07_LE9","D6_U07_LE9","F7_U07_LE9","M8_U07_LE9","D5_U08_LE10","D6_U08_LE10","F7_U08_LE10","M8_U08_LE10","D5_U09_LE11","D6_U09_LE11","F7_U09_LE11","M8_U09_LE11","D5_U10_LE12","D6_U10_LE12","F7_U10_LE12","M8_U10_LE12","D5_U11_LE13","D6_U11_LE13","M8_U11_LE13","F7_U11_LE13","D5_U12_LE14","D6_U12_LE14","F7_U12_LE14","M8_U12_LE14","D5_U13_LE15","D6_U13_LE15","F7_U13_LE15","M8_U13_LE15","D5_U14_LE16","D6_U14_LE16","M8_U14_LE16","F7_U14_LE16","D5_U15_LE16","D6_U15_LE16","M8_U15_LE16","F7_U15_LE16","D5_U16_LE16","D6_U16_LE16","F7_U16_LE16","M8_U16_LE16"
"ENSG00000142512",1.32769222392347,2.35462278401839,1.9852235472796,1.63738351594367,1.33333737267477,2.20088366733833,2.02980713886115,2.13268572897125,1.19417022096198,1.8742646491455,2.09445826223354,1.70767344046418,1.56100432714257,2.05501203392542,1.99574895339625,1.90341727610288,1.63347674997407,2.00908899669205,2.13233952663227,1.82998331562075,1.3233356174959,2.1168707973603,1.96661280128814,1.91664655524486,1.59516714916246,2.13877439326503,2.25704687527244,2.05925776087379,1.56123208800341,2.10069384472427,2.4603652943951,1.82602072283407,1.29371006736259,2.21299859239346,2.08843065556217,2.40144037926387,1.47550539009796,2.0967599179308,1.75763781166751,2.12810000784541,1.47463465500525,2.35356040641546,1.95700348952679,2.01205700419005,1.63287200965351,2.26953458349977,2.02923519080016,1.99437835446507,1.5989020257415,2.29556420827735,1.93522354703434,2.05836428870531,1.35631176790892,2.17837072573795,2.20452375718892,2.21765703538446,1.52399356290697,2.31226721159287,1.87523229161203,2.08582281675017,1.62816945558082,2.18350696136056,2.00841769990333,1.97570129805905,1.51007392946967,2.22223838779672,1.9156389326618,2.09575370279663,1.72487493751289,2.2739827150397,2.33249363791867,2.28602662329619
"ENSG00000183604",2.95587582100852,2.90082030623647,2.94601419752132,3.350883672113,2.8645643782781,2.92196623157189,2.71307036819483,3.28409731509956,3.11789283340447,2.92239567609504,3.06630996585276,3.53296171363733,3.07998375732813,3.00965518988479,3.05130375220688,3.22550652230093,3.22676045569607,3.10611179730394,2.8075689864561,3.33082027560485,3.07534606254862,2.93477562031218,2.85599211162871,3.36019568911264,3.01988244193344,3.01636314490322,2.69666236536584,3.22190927338302,3.02941481156412,2.78837918406755,3.01484169291955,3.23445917752471,2.93522695329119,2.84136417352592,2.82745825027885,3.3055832982504,3.03744219803506,2.88531469767476,2.93523021317275,3.35131571178031,2.88352431611334,2.65817905585941,2.82822737387385,3.18370538843829,2.84043873413157,2.92307828791068,2.84290786251649,3.35990190228042,2.96064894885342,3.1035477496158,3.30715607346871,2.91331391179431,3.15365475397725,3.12783109530829,3.02601070713252,3.32192815706752,2.79844165985616,2.88013945519487,2.88168937747743,3.2754923848943,2.87235171525426,2.97843042219168,3.22736969484801,2.73474420612875,2.94840232441685,3.07525449964712,3.15661627414264,2.72418781713447,2.79863684999642,2.8070572726425,2.82260989659545,3.26347821380119
"ENSG00000111266",4.55498056448199,4.60995348098296,4.53319036832076,4.53559102025174,4.52624488360593,4.62473403561692,4.44988081795414,4.47651973119383,4.57645650468692,4.61720381404099,4.61950488175627,4.55449482541525,4.66310704133579,4.56516116811071,4.61324005407583,4.5483938863803,4.75033726327969,4.68345460354277,4.45914807234569,4.45786112964724,4.63419951578599,4.53146499092081,4.56429998225338,4.55810045667473,4.61464098940967,4.62184022253274,4.40882214758945,4.48029421998922,4.62092161688712,4.58888796441685,4.59402076939793,4.44883939616471,4.63001631422272,4.59093553839402,4.4907449747465,4.64491692155443,4.66830632355861,4.62900563642825,4.62887953317896,4.46215355983783,4.54475213960157,4.45757985892435,4.53668389777988,4.53041985978015,4.52127007899101,4.5810577331274,4.47065572993763,4.46360896160071,4.62620392435551,4.61397935520308,4.5325195539816,4.47735720736428,4.78389900254071,4.68290133103845,4.63285871653355,4.54386481602296,4.68488038059848,4.61132838691722,4.53930853584776,4.55415446877986,4.61847573740503,4.5663903827614,4.46139606995478,4.42125186060069,4.64885097534411,4.53268462826172,4.54995012763083,4.52170231340131,4.60160447280986,4.56252400836892,4.62076235456333,4.60410957415641
"ENSG00000226747",-3.5269735067099,-4.34033247604928,-3.23644199282833,-6.64385618977472,-6.64385618977472,-3.77441702530503,-5.36989631074389,-1.85902475851583,-6.64385618977472,-3.85377334932595,-4.62708176961252,-2.41265593381451,-4.8800201132235,-4.56908532468217,-2.10549151382574,-6.64385618977472,-6.64385618977472,-4.76309011873753,-4.16237018021989,-1.73119009225472,-6.64385618977472,-2.4796151596894,-3.28722553803659,-6.64385618977472,-6.64385618977472,-2.24756119404069,-3.07579294453595,-3.54417533070051,-6.64385618977472,-6.64385618977472,-6.64385618977472,-3.71664147097287,-4.41469283251829,-6.64385618977472,-2.40169241977337,-6.64385618977472,-3.46047771077874,-2.88434936774179,-5.01471880604955,-6.64385618977472,-3.31914145244929,-6.64385618977472,-3.65790444139441,-3.15528192665121,-3.09263889323814,-2.28565362713136,-3.46490751799473,-6.64385618977472,-4.00601586791774,-1.88322850323712,-2.33459113199151,-3.46421423599482,-2.30680996079069,-3.04833608302418,-6.64385618977472,-4.16815450493253,-6.64385618977472,-2.64039631382397,-2.71866456485813,-3.47097862648144,-3.53128188553427,-2.29665394258398,-2.57706502982575,-3.66179510950103,-6.64385618977472,-2.54819776482905,-6.64385618977472,-6.64385618977472,-6.64385618977472,-3.17151491778421,-4.04178932611262,-3.38569706409954
"ENSG00000178522",-6.64385618977472,-4.06639424811345,-6.64385618977472,-3.7383806869308,-5.15344543202453,-3.10387979774734,-4.84139985752559,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-3.29590970294663,-5.2370446119516,-6.64385618977472,-6.64385618977472,-3.95709800625973,-6.64385618977472,-2.85173400852188,-6.64385618977472,-6.64385618977472,-6.64385618977472,-3.25574817339231,-4.21960945163627,-6.64385618977472,-3.93237718589655,-5.05400183024319,-4.55205796803723,-6.64385618977472,-6.64385618977472,-2.78213974340696,-6.64385618977472,-4.09376553277084,-6.64385618977472,-3.52893758103021,-3.81256743285822,-6.64385618977472,-6.64385618977472,-3.95848511570648,-6.64385618977472,-6.64385618977472,-3.27855056450172,-5.62433175019026,-4.90313254188768,-3.25810179043675,-6.64385618977472,-3.2494083946583,-4.22320846727875,-6.64385618977472,-6.64385618977472,-4.63059358061659,-3.64393990458327,-4.2288938478483,-6.64385618977472,-3.54088667814619,-6.64385618977472,-6.64385618977472,-6.64385618977472,-2.81376101729673,-5.22283335323212,-4.33099286253529,-6.64385618977472,-5.65795958277907,-5.24991715515334,-3.81700472512397,-6.64385618977472,-6.64385618977472,-3.67409490709857,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-2.31817542281918
"ENSG00000264456",0.229772477465448,0.92029939877689,0.565491894266596,0.828111597886791,0.775470326791511,-0.860640528569452,0.781586330000946,1.04454310271712,0.695403255952392,0.570463902537526,0.187594207881606,1.06597824940347,0.195237974534226,0.215031179788984,0.518140295108562,0.226965927259471,0.194268638665193,0.0597345928537466,0.719439312673561,0.987859274570591,0.772296149540751,0.929287291842408,0.960690367866733,1.00864249486117,1.37987321757344,0.371342511829754,0.909531962902482,0.605742742370505,0.251188264942929,0.697793387419337,0.323465765138832,-0.154589437469544,0.668088254858755,0.327176870204334,0.637947755189225,0.0247480265160656,0.76537434370353,0.185293158276138,0.0220083818257172,0.701262485517383,0.69761104021667,-0.115456779384959,0.49988414589191,0.408137929195425,0.518775819857718,0.51002715509282,0.576352825969294,1.47359315413936,0.658676726872221,0.211028396448978,0.80015235143038,-0.322285206104319,0.578618990934721,0.285094411086195,0.637727085186815,0.373288501855711,0.774601961152829,-0.442786971928061,0.714503146256151,0.71289243231257,0.516942007769859,0.296738136587504,0.698348292708022,0.773985357212446,0.463060543784156,0.387607381143772,0.0436356744918063,-0.114645863533556,0.617142354851508,0.0606188129836305,-0.107612082927745,0.82779545363255
"ENSG00000165475",1.24742107140654,1.43855187779431,2.23459782339353,2.33653629213429,1.26299854660178,1.74441344651108,2.60171547721955,2.45520029912095,1.38329675785096,1.46294553704466,2.32104421617618,2.25304746608845,1.13638394565647,1.6176027432592,2.1787128936891,1.89495917598867,0.86217184741161,1.67050998206679,2.21749594140628,2.00453045941573,1.20690902355897,1.35546197910528,2.26234823818623,1.99913003212826,1.02006066364388,1.76716045343435,2.16180014601313,2.17795329672304,1.18324844711911,1.91318657099419,2.30468664945466,2.48779998668913,1.04070051384864,1.44542408592518,2.24986305626805,2.21953527423343,1.10415602107421,1.842991144208,2.26779489661324,2.23421498370793,1.24349518978959,1.68835547569098,1.91541408153058,2.28260881283569,1.13859146486984,1.64074016199236,2.23096750310505,2.0092134831333,1.22043948099632,1.59062815129586,2.07293235143177,2.18552569577379,1.32403299551156,1.43469522050254,2.27085326592816,2.04253707674874,1.19114054254441,1.53071277098324,2.18719622560712,2.12656075537885,1.07535459606419,1.63405737382773,2.2817498823774,2.34617932799902,0.950538061978133,1.64539506091399,2.07216197940677,2.34788415051576,1.06997749647176,1.49152493142321,2.56039588576979,2.31915121391753
"ENSG00000128512",-0.106798333039767,-1.28028505859964,-1.59687486770329,-0.945193514895269,-0.224722988557562,-0.70161948275641,-1.63022878433758,-1.59335541958854,-0.182342386701182,-0.736098691562691,-1.64059066469976,-1.01178288216082,-0.158750689469758,-0.622794486953393,-2.15424709359307,-0.772318998691035,0.22339466703517,-1.04048473699954,-1.92464791587221,-1.08596337444657,-0.0220216975703686,-0.708234767818291,-1.54231553845048,-0.876844749745913,-0.350470909339609,-1.10983206254145,-1.67610685295768,-1.42578007319071,0.154996042535414,-1.25748934035494,-1.55567967532417,-1.1227711013063,-0.327464520443532,-1.06605006852511,-1.65314400837119,-0.873981810232067,0.213004848110783,-0.8644479729735,-2.13455749195944,-0.981748468501241,-0.0202040264095795,-1.01753890754562,-1.89044133522379,-0.619627945338866,0.239435215079799,-0.744619168704858,-1.5952457969486,-0.935417083615696,-0.306266144267519,-0.72133245377455,-0.967952172793351,-2.04564572036265,-0.00510244869396772,-0.638821265333234,-1.62379019643226,-0.920679553457908,-0.137860828768814,-0.501711223540757,-1.31288069462808,-1.01878225468291,-0.0387676472610704,-0.872260100797047,-1.22369460301259,-1.81182711899834,0.0587566163565722,-0.756539927557477,-1.12715285286775,-2.13824167819205,-0.240319066223266,-1.01200311423187,-1.42085845558675,-0.873132747071087
"ENSG00000204619",3.74429480674811,3.82484760641946,3.90170029375287,3.6610032680869,3.77678708459441,3.99707915125016,3.26499707242985,3.65963267304019,3.60834967821183,3.74491120208219,3.76404304028133,3.78302406492797,3.77011568582156,3.83964077307968,3.83377380971266,3.64273710512466,3.80076370307985,4.01353596490077,3.61458957368814,3.70322171519699,3.95013939364018,3.97088662801014,3.84461516326828,3.66494644441336,3.72045127398676,4.21865596245525,3.62800442440985,3.96953352742712,3.60239228979165,3.46441956623786,3.25378180220222,3.59607908056327,3.72874741746848,3.91397099550292,3.6598694895447,3.65621632095758,3.65704412685098,4.10860280344582,3.63571946324283,3.8784586202799,4.08243385979808,4.0981862008934,3.93761781156864,3.88547392860706,3.85417756493869,4.01484852822304,3.94394319179509,3.8755673176752,3.70996825755973,3.84528110747873,3.60360015816461,3.76051799181399,3.79440627850493,4.02628367860633,3.80528598616188,3.81541252320601,4.01093020771042,4.16165451515143,3.73912390186544,3.75945203109134,3.81404619598281,4.01519626936962,3.66426480968664,3.78341544843173,3.80272183213847,3.99241667025631,3.61245721243521,3.59358403398438,3.7052572608301,3.82067119032961,3.70827594082558,3.86259743882796
"ENSG00000248019",-1.46574973170757,-3.32991431121442,-1.54912372143646,-0.30895881717681,-2.73916822143627,-3.19308946347291,-0.816522497767873,-0.775754121804988,-0.756135702946787,-1.83591372100697,-2.2488708891987,-0.468037233479335,-1.75922543490386,-0.230809192335851,-1.48525864296929,0.0963951470638501,-3.04241568524874,-1.06693112397788,-1.79110255805689,0.467227252388829,-2.77077774250894,-1.34770650205722,-2.91598682385293,-0.342247742395147,-1.96766080520706,-0.98205938054751,-1.35936281466881,-0.553199138808048,-0.45320715879766,-0.740076698900987,-2.26560582201766,-0.473180516999114,-1.20049798368758,-1.52619728557248,-1.49966651249644,-0.394371220630404,-1.25035243555578,-1.35773615718674,-1.61896165281087,-1.25997028120203,-1.11381303223745,-1.0213654359812,-1.70197918682192,-0.529415216102647,-2.48949360284807,-1.11708110320276,-1.6508961026321,0.0783588249099872,-0.758097908150823,-0.732976692682425,0.237654104796879,-1.33147567019777,-0.975083148807736,-1.38289556987086,-1.65961050696965,0.207520703242367,-0.905099578482428,-1.66220252798622,-2.32761793545534,0.0630296689964554,-0.773565135834187,-1.75331441660476,-0.0222868120334561,-1.73635127154309,-1.70104406955444,-0.521212625362372,-0.606740166049428,-1.16179250479319,-1.08134512258394,-1.90701773149721,-1.76562157065165,-0.0783285458205153
