"","Var1","Freq","gene","compare","gene_compare","FC","medianp","uchar","ubb","us","uc"
1978,"ENSG00000186111 D5/D6",10,"ENSG00000186111","D5/D6","ENSG00000186111 D5/D6",0.70330957214419,0.000523213459674209,2.16741190614824,2.69909978102636,3.04463151948601,4.61005369689957
1983,"ENSG00000186298 D5/D6",6,"ENSG00000186298","D5/D6","ENSG00000186298 D5/D6",1.13213227689141,0.00839003494957743,1.99107998464694,7.23238306401279,3.04463151948601,8.09577330335579
1985,"ENSG00000186468 D5/D6",10,"ENSG00000186468","D5/D6","ENSG00000186468 D5/D6",1.40502806805217,0.000177344958105387,1.64571400030405,6.59291075545427,3.04463151948601,7.44611495275416
1992,"ENSG00000186765 D5/D6",4,"ENSG00000186765","D5/D6","ENSG00000186765 D5/D6",0.733376131837179,0.0984188994824132,3.33663880709617,15.0807290452041,3.04463151948601,15.7426595006476
1996,"ENSG00000187097 D5/D6",4,"ENSG00000187097","D5/D6","ENSG00000187097 D5/D6",1.12082770053862,0.0646481302407227,1.38135635969363,7.78401829248161,3.04463151948601,8.47165079896487
1999,"ENSG00000187122 D5/D6",7,"ENSG00000187122","D5/D6","ENSG00000187122 D5/D6",0.589711004335835,0.0203750911248249,13.7186925869881,13.4714440282189,3.04463151948601,19.4666923639114
2002,"ENSG00000187609 D5/D6",6,"ENSG00000187609","D5/D6","ENSG00000187609 D5/D6",0.782448949505415,0.0121168310396551,3.83050209898698,1.67936738802155,3.04463151948601,5.17327770796636
2008,"ENSG00000187862 D5/D6",6,"ENSG00000187862","D5/D6","ENSG00000187862 D5/D6",0.759637694770492,0.0308308500658638,3.81575161634596,28.884969370342,3.04463151948601,29.2945591708203
2011,"ENSG00000188026 D5/D6",7,"ENSG00000188026","D5/D6","ENSG00000188026 D5/D6",1.29293218975105,0.00705052492882088,3.4125336715844,13.1645127914974,3.04463151948601,13.936267943271
2014,"ENSG00000188636 D5/D6",10,"ENSG00000188636","D5/D6","ENSG00000188636 D5/D6",1.80532813236849,1.6635808239937e-05,0.638591320061872,9.86401349102107,3.04463151948601,10.3429368225157
2017,"ENSG00000188760 D5/D6",8,"ENSG00000188760","D5/D6","ENSG00000188760 D5/D6",1.70252815024328,0.00246492928727417,7.10507372463702,8.94164518001748,3.04463151948601,11.8196815628554
2021,"ENSG00000189420 D5/D6",10,"ENSG00000189420","D5/D6","ENSG00000189420 D5/D6",1.46974925995161,0.00140487320877529,1.71769787288703,0.97432615635963,3.04463151948601,3.62899139306431
2026,"ENSG00000196365 D5/D6",10,"ENSG00000196365","D5/D6","ENSG00000196365 D5/D6",1.24152147907873,9.22201909192639e-05,0.888628207591605,3.92437354179711,3.04463151948601,5.0458050771242
2032,"ENSG00000196456 D5/D6",8,"ENSG00000196456","D5/D6","ENSG00000196456 D5/D6",0.731566164064329,0.00907261902738183,5.84204302609813,25.837948874952,3.04463151948601,26.6645616853693
2035,"ENSG00000196466 D5/D6",6,"ENSG00000196466","D5/D6","ENSG00000196466 D5/D6",0.792246261330483,0.0186375341976705,2.97636202451591,7.18084946459949,3.04463151948601,8.34823999557194
2043,"ENSG00000196911 D5/D6",4,"ENSG00000196911","D5/D6","ENSG00000196911 D5/D6",0.896282123163567,0.0564679379419584,1.45731107391222,5.21791002726562,3.04463151948601,6.21450896758819
2052,"ENSG00000197157 D5/D6",10,"ENSG00000197157","D5/D6","ENSG00000197157 D5/D6",1.19356408848513,0.000715835181031938,1.05706554683171,4.33023858371845,3.04463151948601,5.39797506956732
2055,"ENSG00000197444 D5/D6",9,"ENSG00000197444","D5/D6","ENSG00000197444 D5/D6",0.357517041317944,0.000186164078609358,4.24858185554703,9.37112559757425,3.04463151948601,10.7302480790633
2058,"ENSG00000197498 D5/D6",9,"ENSG00000197498","D5/D6","ENSG00000197498 D5/D6",1.32724819355943,0.000118801578361605,0.864283829071007,3.22468525737092,3.04463151948601,4.51833626855579
2066,"ENSG00000197822 D5/D6",10,"ENSG00000197822","D5/D6","ENSG00000197822 D5/D6",2.08399376680183,1.25372349495463e-05,1.2159525156239,30.8742954846083,3.04463151948601,31.0478734099552
2075,"ENSG00000198056 D5/D6",10,"ENSG00000198056","D5/D6","ENSG00000198056 D5/D6",1.28873167247822,0.00436502969830244,1.35175536008435,6.66897782196673,3.04463151948601,7.45468234285329
2083,"ENSG00000198393 D5/D6",5,"ENSG00000198393","D5/D6","ENSG00000198393 D5/D6",1.14735640027468,0.0553015073086286,2.20055540209813,16.3230437002164,3.04463151948601,16.7497456937807
2092,"ENSG00000198554 D5/D6",8,"ENSG00000198554","D5/D6","ENSG00000198554 D5/D6",1.21283062737552,0.00561453632466804,1.19633713535475,6.25562773263617,3.04463151948601,7.05931172000523
2096,"ENSG00000198663 D5/D6",5,"ENSG00000198663","D5/D6","ENSG00000198663 D5/D6",0.892652809756958,0.117085696042005,15.4137735673966,17.1839803643208,3.04463151948601,23.2839725527622
2099,"ENSG00000198740 D5/D6",7,"ENSG00000198740","D5/D6","ENSG00000198740 D5/D6",0.674872349129837,0.00779344148494794,8.86317450773631,8.29503070711015,3.04463151948601,12.5153177297236
2106,"ENSG00000198816 D5/D6",5,"ENSG00000198816","D5/D6","ENSG00000198816 D5/D6",0.781872238627314,0.0613309428540948,4.80838346711928,13.0405333809034,3.04463151948601,14.2283464785888
2109,"ENSG00000198826 D5/D6",10,"ENSG00000198826","D5/D6","ENSG00000198826 D5/D6",2.37367587233681,4.25156543237997e-05,4.68519386699717,43.9091503392571,3.04463151948601,44.2632387673595
2117,"ENSG00000198874 D5/D6",5,"ENSG00000198874","D5/D6","ENSG00000198874 D5/D6",1.11020033763092,0.0829001081297086,1.26919076204221,6.88119419920487,3.04463151948601,7.63095406139178
2120,"ENSG00000198899 D5/D6",7,"ENSG00000198899","D5/D6","ENSG00000198899 D5/D6",1.46402647400735,0.00454715512253935,3.12119418201369,25.7973373034028,3.04463151948601,26.1632231607044
2125,"ENSG00000198911 D5/D6",6,"ENSG00000198911","D5/D6","ENSG00000198911 D5/D6",1.07220903534684,0.0256564682785512,1.00017885744055,2.97631661033578,3.04463151948601,4.37362542992418
2130,"ENSG00000203761 D5/D6",10,"ENSG00000203761","D5/D6","ENSG00000203761 D5/D6",1.32706042730427,0.000883490392677601,1.18701436360679,10.0863403099033,3.04463151948601,10.6025018290985
2142,"ENSG00000203995 D5/D6",10,"ENSG00000203995","D5/D6","ENSG00000203995 D5/D6",1.74045089366236,6.3363952733435e-06,1.59537329688587,12.6000657145561,3.04463151948601,13.0604997246275
2147,"ENSG00000204084 D5/D6",10,"ENSG00000204084","D5/D6","ENSG00000204084 D5/D6",0.889467256455862,0.016220858368252,1.09449731749129,2.76398579323969,3.04463151948601,4.25527001877368
2153,"ENSG00000204138 D5/D6",9,"ENSG00000204138","D5/D6","ENSG00000204138 D5/D6",1.37464586471234,4.87875972981573e-05,1.23987182826386,18.5875261436683,3.04463151948601,18.8759951097028
2156,"ENSG00000204186 D5/D6",8,"ENSG00000204186","D5/D6","ENSG00000204186 D5/D6",0.840417701000391,0.0156069663142971,2.34229627393689,8.72913536565486,3.04463151948601,9.53697735953445
2159,"ENSG00000204220 D5/D6",6,"ENSG00000204220","D5/D6","ENSG00000204220 D5/D6",1.1416064274746,0.0388947926205284,0.743418390798706,8.25263735640972,3.04463151948601,8.82771065053871
2161,"ENSG00000204366 D5/D6",8,"ENSG00000204366","D5/D6","ENSG00000204366 D5/D6",1.57082774765102,0.00183190462140058,5.31076393773323,10.3321918500323,3.04463151948601,12.0095038664238
2163,"ENSG00000204386 D5/D6",5,"ENSG00000204386","D5/D6","ENSG00000204386 D5/D6",0.845210268816425,0.0537621580701394,7.20623645014044,5.80975863246799,3.04463151948601,9.74437890438979
2166,"ENSG00000204519 D5/D6",4,"ENSG00000204519","D5/D6","ENSG00000204519 D5/D6",1.41184387231051,0.0769671080432205,25.4767530934139,93.4547345256093,3.04463151948601,96.9129616435507
2169,"ENSG00000204619 D5/D6",5,"ENSG00000204619","D5/D6","ENSG00000204619 D5/D6",0.913440768991278,0.0594505260896041,1.27125953952718,3.87543224239566,3.04463151948601,5.08968142143361
2172,"ENSG00000204623 D5/D6",7,"ENSG00000204623","D5/D6","ENSG00000204623 D5/D6",1.1363611730707,0.0164000004435231,2.74178842930945,19.0828629939063,3.04463151948601,19.5177571694276
2174,"ENSG00000204634 D5/D6",9,"ENSG00000204634","D5/D6","ENSG00000204634 D5/D6",1.43673799821327,0.00141302843126189,3.39339978099239,19.793562886636,3.04463151948601,20.3118210633685
2177,"ENSG00000204673 D5/D6",9,"ENSG00000204673","D5/D6","ENSG00000204673 D5/D6",1.39157933876677,0.000406973726007303,3.25068550678085,5.12821156053517,3.04463151948601,6.79229645724105
2183,"ENSG00000205089 D5/D6",8,"ENSG00000205089","D5/D6","ENSG00000205089 D5/D6",0.812526776380603,0.00946591731381227,2.39408890790846,4.30321415533827,3.04463151948601,5.78956776064688
2186,"ENSG00000205356 D5/D6",9,"ENSG00000205356","D5/D6","ENSG00000205356 D5/D6",0.74032065357402,0.000640226007005986,1.12490996423245,6.15750096703718,3.04463151948601,6.96060497917681
2189,"ENSG00000205413 D5/D6",10,"ENSG00000205413","D5/D6","ENSG00000205413 D5/D6",0.626420088050215,3.51615607526799e-06,1.7318349258857,5.45421720346179,3.04463151948601,6.4820921470235
2196,"ENSG00000205765 D5/D6",6,"ENSG00000205765","D5/D6","ENSG00000205765 D5/D6",1.10183840355542,0.0335793332722132,1.68403896125622,7.09673574723091,3.04463151948601,7.90376028093601
2198,"ENSG00000205937 D5/D6",8,"ENSG00000205937","D5/D6","ENSG00000205937 D5/D6",1.148459333364,0.00739327719154883,0.898967449380665,3.86433093849117,3.04463151948601,5.00109759619563
2204,"ENSG00000206418 D5/D6",8,"ENSG00000206418","D5/D6","ENSG00000206418 D5/D6",0.849568913909722,0.0113943278992926,1.58907297030701,8.98138853848807,3.04463151948601,9.61562655648049
2224,"ENSG00000210112 D5/D6",7,"ENSG00000210112","D5/D6","ENSG00000210112 D5/D6",1.43909983879479,0.00563014083196988,4.47908521384607,15.9921857552685,3.04463151948601,16.8843711956755
2227,"ENSG00000210196 D5/D6",10,"ENSG00000210196","D5/D6","ENSG00000210196 D5/D6",1.67120708489503,0.000161075018648216,4.37503372250272,17.196446766691,3.04463151948601,18.0035686063103
2233,"ENSG00000211638 D5/D6",10,"ENSG00000211638","D5/D6","ENSG00000211638 D5/D6",2.22624135815148,4.59775705260596e-05,10.1547759627785,24.8889317629958,3.04463151948601,27.0526926616692
2237,"ENSG00000211891 D5/D6",9,"ENSG00000211891","D5/D6","ENSG00000211891 D5/D6",0.465795737740622,0.00114054806220009,4.73990945758368,22.3710993122362,3.04463151948601,23.0695168391857
2240,"ENSG00000211937 D5/D6",7,"ENSG00000211937","D5/D6","ENSG00000211937 D5/D6",1.4445310460304,0.00389654218029673,6.84526378184637,18.4770020241411,3.04463151948601,19.9380796751498
2243,"ENSG00000212719 D5/D6",9,"ENSG00000212719","D5/D6","ENSG00000212719 D5/D6",2.57783140738949,0.000863359719634698,10.1182732078583,129.591488090232,3.04463151948601,130.021548288117
2246,"ENSG00000213064 D5/D6",4,"ENSG00000213064","D5/D6","ENSG00000213064 D5/D6",1.05865023398764,0.26676433569456,1.36228031438728,3.30678914348173,3.04463151948601,4.69685460535702
2255,"ENSG00000213860 D5/D6",6,"ENSG00000213860","D5/D6","ENSG00000213860 D5/D6",1.21738099021477,0.0213791663483882,1.88158422290385,25.9588651837397,3.04463151948601,26.2044427894375
2261,"ENSG00000213928 D5/D6",4,"ENSG00000213928","D5/D6","ENSG00000213928 D5/D6",0.948283538540725,0.193094416015467,1.92459273936752,10.2785960588149,3.04463151948601,10.8914358668708
2269,"ENSG00000214215 D5/D6",10,"ENSG00000214215","D5/D6","ENSG00000214215 D5/D6",0.392269959449682,0.00150682473625669,7.01832618786806,15.2762664100072,3.04463151948601,17.084817792364
2275,"ENSG00000214300 D5/D6",6,"ENSG00000214300","D5/D6","ENSG00000214300 D5/D6",1.40308470247528,0.00949208436738687,20.9449924496375,4.84419665491819,3.04463151948601,21.7124096091691
2278,"ENSG00000214783 D5/D6",4,"ENSG00000214783","D5/D6","ENSG00000214783 D5/D6",0.887813230996625,0.102080480771695,1.6584457562122,6.43521636697571,3.04463151948601,7.30973550174957
2283,"ENSG00000214827 D5/D6",10,"ENSG00000214827","D5/D6","ENSG00000214827 D5/D6",2.08924897856587,0.000201567820182936,4.46759182279346,46.8604440059854,3.04463151948601,47.1712875616368
2286,"ENSG00000214940 D5/D6",9,"ENSG00000214940","D5/D6","ENSG00000214940 D5/D6",1.29214054108703,0.00242639768691023,1.74801995977216,13.4417528545349,3.04463151948601,13.8926626199446
2290,"ENSG00000215190 D5/D6",5,"ENSG00000215190","D5/D6","ENSG00000215190 D5/D6",1.17307332402024,0.0473745752301408,2.36087733439881,14.0800802454231,3.04463151948601,14.597677301375
2293,"ENSG00000215347 D5/D6",4,"ENSG00000215347","D5/D6","ENSG00000215347 D5/D6",0.729159922485231,0.12016338415539,8.73456192383532,8.17357326780248,3.04463151948601,12.3438103134687
2296,"ENSG00000215493 D5/D6",7,"ENSG00000215493","D5/D6","ENSG00000215493 D5/D6",1.23425222411158,0.0302731368763951,2.42092174620368,15.0042340035851,3.04463151948601,15.5002477794721
2308,"ENSG00000217801 D5/D6",9,"ENSG00000217801","D5/D6","ENSG00000217801 D5/D6",0.699064288948053,0.000789638278105078,3.3199935607193,11.8121574991601,3.04463151948601,12.6419619963687
2314,"ENSG00000218891 D5/D6",5,"ENSG00000218891","D5/D6","ENSG00000218891 D5/D6",1.37778278742656,0.0444253497559471,16.9918558223413,9.22841978687844,3.04463151948601,19.5743882954112
2318,"ENSG00000220201 D5/D6",7,"ENSG00000220201","D5/D6","ENSG00000220201 D5/D6",1.3819077357099,0.00749047160936544,2.69963870425576,10.6733469433834,3.04463151948601,11.4227039354434
2320,"ENSG00000220614 D5/D6",6,"ENSG00000220614","D5/D6","ENSG00000220614 D5/D6",0.7170196808427,0.0380143421738168,2.32382189916466,19.1791061445361,3.04463151948601,19.5578128074656
2324,"ENSG00000222009 D5/D6",6,"ENSG00000222009","D5/D6","ENSG00000222009 D5/D6",0.600924949143973,0.0251457264531877,10.8086046977331,19.0032349868551,3.04463151948601,22.0730300721704
2327,"ENSG00000222389 D5/D6",8,"ENSG00000222389","D5/D6","ENSG00000222389 D5/D6",0.340857764089071,0.0102992446629768,11.6335564282872,82.6009045162136,3.04463151948601,83.4716649118503
2335,"ENSG00000223705 D5/D6",10,"ENSG00000223705","D5/D6","ENSG00000223705 D5/D6",1.37240381036109,3.20001251886727e-05,1.92257060660861,2.98432888582678,3.04463151948601,4.67678070104032
2342,"ENSG00000224137 D5/D6",10,"ENSG00000224137","D5/D6","ENSG00000224137 D5/D6",2.27109450907242,2.1458049823758e-06,2.145329144095,20.0980094304331,3.04463151948601,20.4402104023351
2354,"ENSG00000224897 D5/D6",5,"ENSG00000224897","D5/D6","ENSG00000224897 D5/D6",0.612543267268284,0.046304142803227,5.62050822017257,11.4542032590968,3.04463151948601,13.1171134798468
2357,"ENSG00000225556 D5/D6",9,"ENSG00000225556","D5/D6","ENSG00000225556 D5/D6",2.91910870801995,0.00405684163234583,13.5520268142025,33.3812408218194,3.04463151948601,36.1556973472593
2367,"ENSG00000226268 D5/D6",7,"ENSG00000226268","D5/D6","ENSG00000226268 D5/D6",1.52125215590056,0.0241513449870625,4.62194222076963,10.7564228557272,3.04463151948601,12.096807993549
2371,"ENSG00000226397 D5/D6",10,"ENSG00000226397","D5/D6","ENSG00000226397 D5/D6",3.41309227233716,0.000279646461902208,12.6706825071234,78.9606779410072,3.04463151948601,80.0287738078576
