"gene_compare","gene","compare","uchar"
"ENSG00000114767 D5/D6","ENSG00000114767","D5/D6",1.44021512454547
"ENSG00000114948 D5/D6","ENSG00000114948","D5/D6",7.09222134631028
"ENSG00000115053 D5/D6","ENSG00000115053","D5/D6",0.86134146677491
"ENSG00000115129 D5/D6","ENSG00000115129","D5/D6",5.67851147061169
"ENSG00000115204 D5/D6","ENSG00000115204","D5/D6",1.37934725028597
"ENSG00000115207 D5/D6","ENSG00000115207","D5/D6",0.895628990739714
"ENSG00000115306 D5/D6","ENSG00000115306","D5/D6",1.54011131950248
"ENSG00000115310 D5/D6","ENSG00000115310","D5/D6",2.675870763997
"ENSG00000115339 D5/D6","ENSG00000115339","D5/D6",1.66170770534582
"ENSG00000115425 D5/D6","ENSG00000115425","D5/D6",1.57618842289885
"ENSG00000115541 D5/D6","ENSG00000115541","D5/D6",4.29115102738396
"ENSG00000115568 D5/D6","ENSG00000115568","D5/D6",2.83897784695894
"ENSG00000115850 D5/D6","ENSG00000115850","D5/D6",3.59361903018776
"ENSG00000115896 D5/D6","ENSG00000115896","D5/D6",3.94002768109602
"ENSG00000116062 D5/D6","ENSG00000116062","D5/D6",3.39383383708405
"ENSG00000116209 D5/D6","ENSG00000116209","D5/D6",1.13797163727476
"ENSG00000116396 D5/D6","ENSG00000116396","D5/D6",1.86325281817927
"ENSG00000116678 D5/D6","ENSG00000116678","D5/D6",2.64859738932416
"ENSG00000117009 D5/D6","ENSG00000117009","D5/D6",11.6032006515953
"ENSG00000117298 D5/D6","ENSG00000117298","D5/D6",0.998444580211139
"ENSG00000117362 D5/D6","ENSG00000117362","D5/D6",1.1361216720028
"ENSG00000118181 D5/D6","ENSG00000118181","D5/D6",2.38049902535602
"ENSG00000118200 D5/D6","ENSG00000118200","D5/D6",2.72500676173128
"ENSG00000118503 D5/D6","ENSG00000118503","D5/D6",2.11877386752955
"ENSG00000118680 D5/D6","ENSG00000118680","D5/D6",1.25004932381341
"ENSG00000118976 D5/D6","ENSG00000118976","D5/D6",3.71467761174881
"ENSG00000119227 D5/D6","ENSG00000119227","D5/D6",2.40052979418904
"ENSG00000119335 D5/D6","ENSG00000119335","D5/D6",0.938267289821566
"ENSG00000119431 D5/D6","ENSG00000119431","D5/D6",2.43191511598661
"ENSG00000119707 D5/D6","ENSG00000119707","D5/D6",1.4123744938929
"ENSG00000119801 D5/D6","ENSG00000119801","D5/D6",4.64714045857326
"ENSG00000119927 D5/D6","ENSG00000119927","D5/D6",1.4762474485639
"ENSG00000120370 D5/D6","ENSG00000120370","D5/D6",3.14827503772057
"ENSG00000120675 D5/D6","ENSG00000120675","D5/D6",2.00099393812953
"ENSG00000120694 D5/D6","ENSG00000120694","D5/D6",3.26766519868105
"ENSG00000120942 D5/D6","ENSG00000120942","D5/D6",1.4234772732576
"ENSG00000122026 D5/D6","ENSG00000122026","D5/D6",1.1180641888985
"ENSG00000122545 D5/D6","ENSG00000122545","D5/D6",1.09090565495358
"ENSG00000122778 D5/D6","ENSG00000122778","D5/D6",3.30758184206121
"ENSG00000122966 D5/D6","ENSG00000122966","D5/D6",2.19809552817774
"ENSG00000122970 D5/D6","ENSG00000122970","D5/D6",1.11994217883964
"ENSG00000123453 D5/D6","ENSG00000123453","D5/D6",3.84427914012048
"ENSG00000123485 D5/D6","ENSG00000123485","D5/D6",2.99784650702926
"ENSG00000123595 D5/D6","ENSG00000123595","D5/D6",1.65162355766399
"ENSG00000124097 D5/D6","ENSG00000124097","D5/D6",7.39359151940916
"ENSG00000124120 D5/D6","ENSG00000124120","D5/D6",1.88133028729147
"ENSG00000124177 D5/D6","ENSG00000124177","D5/D6",1.43288569643276
"ENSG00000124201 D5/D6","ENSG00000124201","D5/D6",1.19442814192341
"ENSG00000124224 D5/D6","ENSG00000124224","D5/D6",2.05749499409098
"ENSG00000124228 D5/D6","ENSG00000124228","D5/D6",1.47633708001911
"ENSG00000124422 D5/D6","ENSG00000124422","D5/D6",1.18107584139191
"ENSG00000124496 D5/D6","ENSG00000124496","D5/D6",1.52625706215585
"ENSG00000124789 D5/D6","ENSG00000124789","D5/D6",0.943026882490851
"ENSG00000124942 D5/D6","ENSG00000124942","D5/D6",20.5188095887778
"ENSG00000125388 D5/D6","ENSG00000125388","D5/D6",3.56407739191011
"ENSG00000125630 D5/D6","ENSG00000125630","D5/D6",4.17486748440665
"ENSG00000125827 D5/D6","ENSG00000125827","D5/D6",1.09099528594868
"ENSG00000126243 D5/D6","ENSG00000126243","D5/D6",3.86011090760163
"ENSG00000126261 D5/D6","ENSG00000126261","D5/D6",1.57745765390629
"ENSG00000126266 D5/D6","ENSG00000126266","D5/D6",7.17262147653389
"ENSG00000126458 D5/D6","ENSG00000126458","D5/D6",4.93978712347891
"ENSG00000127663 D5/D6","ENSG00000127663","D5/D6",2.28526078997148
"ENSG00000128050 D5/D6","ENSG00000128050","D5/D6",2.91746704127883
"ENSG00000128268 D5/D6","ENSG00000128268","D5/D6",1.12154434161262
"ENSG00000128482 D5/D6","ENSG00000128482","D5/D6",12.9348031760029
"ENSG00000128512 D5/D6","ENSG00000128512","D5/D6",2.78046312525889
"ENSG00000128683 D5/D6","ENSG00000128683","D5/D6",17.338373734363
"ENSG00000129250 D5/D6","ENSG00000129250","D5/D6",1.51795876096258
"ENSG00000129355 D5/D6","ENSG00000129355","D5/D6",3.66918086082685
"ENSG00000129566 D5/D6","ENSG00000129566","D5/D6",0.718824776958071
"ENSG00000129911 D5/D6","ENSG00000129911","D5/D6",3.60994173932884
"ENSG00000130175 D5/D6","ENSG00000130175","D5/D6",1.81870453203307
"ENSG00000130449 D5/D6","ENSG00000130449","D5/D6",1.93577964063816
"ENSG00000130517 D5/D6","ENSG00000130517","D5/D6",1.20079559006512
"ENSG00000130711 D5/D6","ENSG00000130711","D5/D6",16.8154941181115
"ENSG00000130985 D5/D6","ENSG00000130985","D5/D6",0.708937149201184
"ENSG00000131089 D5/D6","ENSG00000131089","D5/D6",4.73726433203109
"ENSG00000131187 D5/D6","ENSG00000131187","D5/D6",4.02199603540055
"ENSG00000131236 D5/D6","ENSG00000131236","D5/D6",3.4658517690629
"ENSG00000131398 D5/D6","ENSG00000131398","D5/D6",8.10098773231383
"ENSG00000131876 D5/D6","ENSG00000131876","D5/D6",2.46113718159533
"ENSG00000132436 D5/D6","ENSG00000132436","D5/D6",2.98764025464674
"ENSG00000132570 D5/D6","ENSG00000132570","D5/D6",8.43342638264251
"ENSG00000132773 D5/D6","ENSG00000132773","D5/D6",2.0602750265098
"ENSG00000132780 D5/D6","ENSG00000132780","D5/D6",1.5529909300093
"ENSG00000132938 D5/D6","ENSG00000132938","D5/D6",5.24589748161275
"ENSG00000133639 D5/D6","ENSG00000133639","D5/D6",2.15414221314679
"ENSG00000134453 D5/D6","ENSG00000134453","D5/D6",0.897972100199726
"ENSG00000134508 D5/D6","ENSG00000134508","D5/D6",3.54567645736546
"ENSG00000134590 D5/D6","ENSG00000134590","D5/D6",7.62418870402576
"ENSG00000134884 D5/D6","ENSG00000134884","D5/D6",1.01206408101402
"ENSG00000135048 D5/D6","ENSG00000135048","D5/D6",4.92015756425482
"ENSG00000135148 D5/D6","ENSG00000135148","D5/D6",3.11553876479831
"ENSG00000135506 D5/D6","ENSG00000135506","D5/D6",0.530607265786032
"ENSG00000135596 D5/D6","ENSG00000135596","D5/D6",0.780861804083195
"ENSG00000135622 D5/D6","ENSG00000135622","D5/D6",6.72526149744964
"ENSG00000135837 D5/D6","ENSG00000135837","D5/D6",1.88727379482141
"ENSG00000135838 D5/D6","ENSG00000135838","D5/D6",1.7205830467262
"ENSG00000136379 D5/D6","ENSG00000136379","D5/D6",7.31904461944351
"ENSG00000136541 D5/D6","ENSG00000136541","D5/D6",4.32944796055888
"ENSG00000137161 D5/D6","ENSG00000137161","D5/D6",1.9871903019615
"ENSG00000137309 D5/D6","ENSG00000137309","D5/D6",2.95674355496091
"ENSG00000137404 D5/D6","ENSG00000137404","D5/D6",3.26385447911123
"ENSG00000137491 D5/D6","ENSG00000137491","D5/D6",24.5537212362188
"ENSG00000137936 D5/D6","ENSG00000137936","D5/D6",3.16270305437568
"ENSG00000138032 D5/D6","ENSG00000138032","D5/D6",1.56100327314431
"ENSG00000138035 D5/D6","ENSG00000138035","D5/D6",1.42728430495004
"ENSG00000138642 D5/D6","ENSG00000138642","D5/D6",1.5711172555606
"ENSG00000139083 D5/D6","ENSG00000139083","D5/D6",0.795555388443306
"ENSG00000139973 D5/D6","ENSG00000139973","D5/D6",11.3465318358123
"ENSG00000139990 D5/D6","ENSG00000139990","D5/D6",4.17976854441701
"ENSG00000140853 D5/D6","ENSG00000140853","D5/D6",1.47075972650783
"ENSG00000140939 D5/D6","ENSG00000140939","D5/D6",7.45931864411448
"ENSG00000141101 D5/D6","ENSG00000141101","D5/D6",1.05563234372372
"ENSG00000141337 D5/D6","ENSG00000141337","D5/D6",1.30000029137204
"ENSG00000141452 D5/D6","ENSG00000141452","D5/D6",1.41743656417647
"ENSG00000141858 D5/D6","ENSG00000141858","D5/D6",1.85693519169704
"ENSG00000141994 D5/D6","ENSG00000141994","D5/D6",3.11996280804377
"ENSG00000142178 D5/D6","ENSG00000142178","D5/D6",2.10249798198363
"ENSG00000142512 D5/D6","ENSG00000142512","D5/D6",1.20483709287098
"ENSG00000142765 D5/D6","ENSG00000142765","D5/D6",1.59811798612206
"ENSG00000143179 D5/D6","ENSG00000143179","D5/D6",3.86557531844019
"ENSG00000143297 D5/D6","ENSG00000143297","D5/D6",0.699707579800806
"ENSG00000143353 D5/D6","ENSG00000143353","D5/D6",1.52992384351287
"ENSG00000143393 D5/D6","ENSG00000143393","D5/D6",0.590610607783008
"ENSG00000143486 D5/D6","ENSG00000143486","D5/D6",1.18975001647259
"ENSG00000143493 D5/D6","ENSG00000143493","D5/D6",1.96410668239062
"ENSG00000143799 D5/D6","ENSG00000143799","D5/D6",0.445456788154571
"ENSG00000144161 D5/D6","ENSG00000144161","D5/D6",2.51346353506668
"ENSG00000144426 D5/D6","ENSG00000144426","D5/D6",4.32951325783445
"ENSG00000144524 D5/D6","ENSG00000144524","D5/D6",1.87049992744378
"ENSG00000144635 D5/D6","ENSG00000144635","D5/D6",4.81748088379104
"ENSG00000145041 D5/D6","ENSG00000145041","D5/D6",1.00385068784617
"ENSG00000145391 D5/D6","ENSG00000145391","D5/D6",1.20320715648029
"ENSG00000145687 D5/D6","ENSG00000145687","D5/D6",3.527335683764
"ENSG00000145780 D5/D6","ENSG00000145780","D5/D6",2.02314868240048
"ENSG00000145936 D5/D6","ENSG00000145936","D5/D6",12.0405633684576
