"gene_compare","gene","compare","us"
"ENSG00000115053 D5/D6","ENSG00000115053","D5/D6",3.04463151948601
"ENSG00000115129 D5/D6","ENSG00000115129","D5/D6",3.04463151948601
"ENSG00000115204 D5/D6","ENSG00000115204","D5/D6",3.04463151948601
"ENSG00000115207 D5/D6","ENSG00000115207","D5/D6",3.04463151948601
"ENSG00000115306 D5/D6","ENSG00000115306","D5/D6",3.04463151948601
"ENSG00000115310 D5/D6","ENSG00000115310","D5/D6",3.04463151948601
"ENSG00000115339 D5/D6","ENSG00000115339","D5/D6",3.04463151948601
"ENSG00000115425 D5/D6","ENSG00000115425","D5/D6",3.04463151948601
"ENSG00000115541 D5/D6","ENSG00000115541","D5/D6",3.04463151948601
"ENSG00000115568 D5/D6","ENSG00000115568","D5/D6",3.04463151948601
"ENSG00000115850 D5/D6","ENSG00000115850","D5/D6",3.04463151948601
"ENSG00000115896 D5/D6","ENSG00000115896","D5/D6",3.04463151948601
"ENSG00000116062 D5/D6","ENSG00000116062","D5/D6",3.04463151948601
"ENSG00000116209 D5/D6","ENSG00000116209","D5/D6",3.04463151948601
"ENSG00000116396 D5/D6","ENSG00000116396","D5/D6",3.04463151948601
"ENSG00000116678 D5/D6","ENSG00000116678","D5/D6",3.04463151948601
"ENSG00000117009 D5/D6","ENSG00000117009","D5/D6",3.04463151948601
"ENSG00000117298 D5/D6","ENSG00000117298","D5/D6",3.04463151948601
"ENSG00000117362 D5/D6","ENSG00000117362","D5/D6",3.04463151948601
"ENSG00000118181 D5/D6","ENSG00000118181","D5/D6",3.04463151948601
"ENSG00000118200 D5/D6","ENSG00000118200","D5/D6",3.04463151948601
"ENSG00000118503 D5/D6","ENSG00000118503","D5/D6",3.04463151948601
"ENSG00000118680 D5/D6","ENSG00000118680","D5/D6",3.04463151948601
"ENSG00000118976 D5/D6","ENSG00000118976","D5/D6",3.04463151948601
"ENSG00000119227 D5/D6","ENSG00000119227","D5/D6",3.04463151948601
"ENSG00000119335 D5/D6","ENSG00000119335","D5/D6",3.04463151948601
"ENSG00000119431 D5/D6","ENSG00000119431","D5/D6",3.04463151948601
"ENSG00000119707 D5/D6","ENSG00000119707","D5/D6",3.04463151948601
"ENSG00000119801 D5/D6","ENSG00000119801","D5/D6",3.04463151948601
"ENSG00000119927 D5/D6","ENSG00000119927","D5/D6",3.04463151948601
"ENSG00000120370 D5/D6","ENSG00000120370","D5/D6",3.04463151948601
"ENSG00000120675 D5/D6","ENSG00000120675","D5/D6",3.04463151948601
"ENSG00000120694 D5/D6","ENSG00000120694","D5/D6",3.04463151948601
"ENSG00000120942 D5/D6","ENSG00000120942","D5/D6",3.04463151948601
