"","Var1","Freq","gene","compare","gene_compare","FC","medianp"
"1342","ENSG00000156802 M8/D6",8,"ENSG00000156802","M8/D6","ENSG00000156802 M8/D6",1.21277037971588,0.00171676616270755
"1345","ENSG00000156970 M8/D6",10,"ENSG00000156970","M8/D6","ENSG00000156970 M8/D6",2.33805857311241,1.54694104390506e-06
"1347","ENSG00000157303 M8/D6",8,"ENSG00000157303","M8/D6","ENSG00000157303 M8/D6",1.25762703086886,0.0103395355182833
"1355","ENSG00000157456 M8/D6",10,"ENSG00000157456","M8/D6","ENSG00000157456 M8/D6",2.18794191046869,1.43838003982304e-06
"1358","ENSG00000157470 M8/D6",9,"ENSG00000157470","M8/D6","ENSG00000157470 M8/D6",0.778705065313038,0.000433355516079283
"1361","ENSG00000157483 M8/D6",10,"ENSG00000157483","M8/D6","ENSG00000157483 M8/D6",1.16215843077742,0.000363289714382723
"1367","ENSG00000157833 M8/D6",9,"ENSG00000157833","M8/D6","ENSG00000157833 M8/D6",1.37471454866207,0.00329995218458191
"1369","ENSG00000157837 M8/D6",5,"ENSG00000157837","M8/D6","ENSG00000157837 M8/D6",0.907841474420818,0.0610627807753078
"1372","ENSG00000157978 M8/D6",5,"ENSG00000157978","M8/D6","ENSG00000157978 M8/D6",1.3002752534759,0.074980198206741
"1374","ENSG00000157992 M8/D6",6,"ENSG00000157992","M8/D6","ENSG00000157992 M8/D6",1.546114863756,0.0169039909376464
"1376","ENSG00000158006 M8/D6",7,"ENSG00000158006","M8/D6","ENSG00000158006 M8/D6",0.866858157526055,0.0175158461836222
"1379","ENSG00000158286 M8/D6",9,"ENSG00000158286","M8/D6","ENSG00000158286 M8/D6",0.784420006342865,0.0058196518771383
"1382","ENSG00000158402 M8/D6",10,"ENSG00000158402","M8/D6","ENSG00000158402 M8/D6",2.59192204790333,9.86601822181227e-05
"1390","ENSG00000158869 M8/D6",5,"ENSG00000158869","M8/D6","ENSG00000158869 M8/D6",0.626079949993492,0.0475725779661299
"1393","ENSG00000159335 M8/D6",8,"ENSG00000159335","M8/D6","ENSG00000159335 M8/D6",1.81004182695825,0.000645656702848639
"1405","ENSG00000160172 M8/D6",10,"ENSG00000160172","M8/D6","ENSG00000160172 M8/D6",2.01563425502885,0.000373936763691487
"1408","ENSG00000160193 M8/D6",5,"ENSG00000160193","M8/D6","ENSG00000160193 M8/D6",0.880156047584607,0.0580010487282073
"1411","ENSG00000160200 M8/D6",10,"ENSG00000160200","M8/D6","ENSG00000160200 M8/D6",0.775650630833592,0.000842002664404263
"1413","ENSG00000160229 M8/D6",9,"ENSG00000160229","M8/D6","ENSG00000160229 M8/D6",1.50064533089647,0.00105006477688572
"1416","ENSG00000160299 M8/D6",9,"ENSG00000160299","M8/D6","ENSG00000160299 M8/D6",0.884929662688213,0.00501382244191335
"1420","ENSG00000160439 M8/D6",8,"ENSG00000160439","M8/D6","ENSG00000160439 M8/D6",0.720158695398112,0.0133223624828121
"1428","ENSG00000160613 M8/D6",9,"ENSG00000160613","M8/D6","ENSG00000160613 M8/D6",1.23538893875064,6.40360099458231e-05
"1431","ENSG00000160679 M8/D6",9,"ENSG00000160679","M8/D6","ENSG00000160679 M8/D6",0.851377429624141,0.00599221817556406
"1434","ENSG00000160683 M8/D6",10,"ENSG00000160683","M8/D6","ENSG00000160683 M8/D6",0.360768601338745,3.61760505422107e-05
"1440","ENSG00000160991 M8/D6",4,"ENSG00000160991","M8/D6","ENSG00000160991 M8/D6",1.00635488391399,0.150455401499372
"1444","ENSG00000161203 M8/D6",5,"ENSG00000161203","M8/D6","ENSG00000161203 M8/D6",0.901872211329685,0.0522710175503813
"1446","ENSG00000161682 M8/D6",6,"ENSG00000161682","M8/D6","ENSG00000161682 M8/D6",1.55902693597186,0.0320039373427439
"1449","ENSG00000161888 M8/D6",10,"ENSG00000161888","M8/D6","ENSG00000161888 M8/D6",2.72690470179881,2.78979909766131e-05
"1457","ENSG00000162408 M8/D6",10,"ENSG00000162408","M8/D6","ENSG00000162408 M8/D6",0.765655385268639,5.42143280939421e-05
"1470","ENSG00000162804 M8/D6",5,"ENSG00000162804","M8/D6","ENSG00000162804 M8/D6",0.82161367859955,0.0478798015867107
"1472","ENSG00000162819 M8/D6",6,"ENSG00000162819","M8/D6","ENSG00000162819 M8/D6",0.907062873748384,0.0398573717000947
"1477","ENSG00000163218 M8/D6",8,"ENSG00000163218","M8/D6","ENSG00000163218 M8/D6",2.29017287356963,0.0116705651208961
"1484","ENSG00000163376 M8/D6",7,"ENSG00000163376","M8/D6","ENSG00000163376 M8/D6",0.743262450216375,0.00126362453877986
"1487","ENSG00000163406 M8/D6",8,"ENSG00000163406","M8/D6","ENSG00000163406 M8/D6",0.605834014955672,0.00159807523988467
"1494","ENSG00000163820 M8/D6",9,"ENSG00000163820","M8/D6","ENSG00000163820 M8/D6",1.33363822634158,0.000380380125899076
"1500","ENSG00000164199 M8/D6",10,"ENSG00000164199","M8/D6","ENSG00000164199 M8/D6",9.41760359902031,4.98451177071089e-07
"1502","ENSG00000164291 M8/D6",8,"ENSG00000164291","M8/D6","ENSG00000164291 M8/D6",1.24777109156231,0.0101195705285666
"1513","ENSG00000164880 M8/D6",4,"ENSG00000164880","M8/D6","ENSG00000164880 M8/D6",0.912773535223457,0.104662110855208
"1516","ENSG00000165046 M8/D6",9,"ENSG00000165046","M8/D6","ENSG00000165046 M8/D6",1.39952327255431,0.0214461619785455
"1519","ENSG00000165178 M8/D6",7,"ENSG00000165178","M8/D6","ENSG00000165178 M8/D6",1.16930325372951,0.0221749745620447
"1523","ENSG00000165475 M8/D6",5,"ENSG00000165475","M8/D6","ENSG00000165475 M8/D6",1.22108248634424,0.0490771380441416
"1527","ENSG00000165548 M8/D6",4,"ENSG00000165548","M8/D6","ENSG00000165548 M8/D6",0.726567867167345,0.130780261037024
"1530","ENSG00000165591 M8/D6",9,"ENSG00000165591","M8/D6","ENSG00000165591 M8/D6",0.831345501302223,0.00932387939030987
"1542","ENSG00000166257 M8/D6",4,"ENSG00000166257","M8/D6","ENSG00000166257 M8/D6",1.29662380047051,0.181401464662273
"1558","ENSG00000166860 M8/D6",5,"ENSG00000166860","M8/D6","ENSG00000166860 M8/D6",0.914414757107591,0.0518898015086224
"1561","ENSG00000166887 M8/D6",5,"ENSG00000166887","M8/D6","ENSG00000166887 M8/D6",0.89203761635823,0.0467755814098764
"1564","ENSG00000167077 M8/D6",10,"ENSG00000167077","M8/D6","ENSG00000167077 M8/D6",0.674264537582956,0.000998864150140639
"1567","ENSG00000167106 M8/D6",4,"ENSG00000167106","M8/D6","ENSG00000167106 M8/D6",1.00186015268177,0.102244459117088
"1574","ENSG00000167377 M8/D6",4,"ENSG00000167377","M8/D6","ENSG00000167377 M8/D6",0.780682231767781,0.3241738915096
"1583","ENSG00000167555 M8/D6",10,"ENSG00000167555","M8/D6","ENSG00000167555 M8/D6",1.92812477914558,0.000108197488425222
"1586","ENSG00000167604 M8/D6",9,"ENSG00000167604","M8/D6","ENSG00000167604 M8/D6",0.816541212063461,0.00214578757190698
"1588","ENSG00000167608 M8/D6",4,"ENSG00000167608","M8/D6","ENSG00000167608 M8/D6",1.38375674828198,0.164580074138639
"1592","ENSG00000167766 M8/D6",7,"ENSG00000167766","M8/D6","ENSG00000167766 M8/D6",1.15096621825788,0.0102342415697442
"1598","ENSG00000167900 M8/D6",10,"ENSG00000167900","M8/D6","ENSG00000167900 M8/D6",1.43752020964091,0.000720959034666876
"1600","ENSG00000168036 M8/D6",7,"ENSG00000168036","M8/D6","ENSG00000168036 M8/D6",0.910502595521687,0.02586195223477
"1601","ENSG00000168126 M8/D6",9,"ENSG00000168126","M8/D6","ENSG00000168126 M8/D6",4.71994438552556,0.000253455672419124
"1606","ENSG00000168246 M8/D6",9,"ENSG00000168246","M8/D6","ENSG00000168246 M8/D6",1.18867518301022,0.00403965963194783
"1613","ENSG00000168404 M8/D6",9,"ENSG00000168404","M8/D6","ENSG00000168404 M8/D6",0.823308018052747,0.0143308239453401
"1619","ENSG00000168610 M8/D6",10,"ENSG00000168610","M8/D6","ENSG00000168610 M8/D6",0.75577615545339,2.62696208642489e-06
"1622","ENSG00000168778 M8/D6",6,"ENSG00000168778","M8/D6","ENSG00000168778 M8/D6",0.854537867763622,0.0297375271218901
"1624","ENSG00000168826 M8/D6",5,"ENSG00000168826","M8/D6","ENSG00000168826 M8/D6",0.787834763974714,0.0564088939030826
"1627","ENSG00000168887 M8/D6",4,"ENSG00000168887","M8/D6","ENSG00000168887 M8/D6",1.10725779102648,0.272456985357098
"1640","ENSG00000169718 M8/D6",5,"ENSG00000169718","M8/D6","ENSG00000169718 M8/D6",0.88274449526398,0.0654787727230108
"1643","ENSG00000170006 M8/D6",10,"ENSG00000170006","M8/D6","ENSG00000170006 M8/D6",0.77128418410538,4.96221072546241e-05
"1652","ENSG00000170270 M8/D6",4,"ENSG00000170270","M8/D6","ENSG00000170270 M8/D6",0.886792674593786,0.114783982826827
"1655","ENSG00000170430 M8/D6",7,"ENSG00000170430","M8/D6","ENSG00000170430 M8/D6",1.28449622144978,0.00573602101512386
"1658","ENSG00000170667 M8/D6",7,"ENSG00000170667","M8/D6","ENSG00000170667 M8/D6",1.23857637098428,0.0119012986370858
"1661","ENSG00000170684 M8/D6",5,"ENSG00000170684","M8/D6","ENSG00000170684 M8/D6",1.13339481307717,0.0488718575854213
"1672","ENSG00000171462 M8/D6",7,"ENSG00000171462","M8/D6","ENSG00000171462 M8/D6",1.2365841556056,0.0118412272651402
"1675","ENSG00000171467 M8/D6",9,"ENSG00000171467","M8/D6","ENSG00000171467 M8/D6",1.14684512100985,0.000605327596419996
"1677","ENSG00000171488 M8/D6",10,"ENSG00000171488","M8/D6","ENSG00000171488 M8/D6",1.47211058610866,0.000279690009033457
"1682","ENSG00000171492 M8/D6",8,"ENSG00000171492","M8/D6","ENSG00000171492 M8/D6",0.895778057376143,0.00316822559471187
"1688","ENSG00000171786 M8/D6",7,"ENSG00000171786","M8/D6","ENSG00000171786 M8/D6",0.742268673403508,0.0277663337411976
"1691","ENSG00000171793 M8/D6",4,"ENSG00000171793","M8/D6","ENSG00000171793 M8/D6",0.947558150158985,0.118106581141161
"1705","ENSG00000172602 M8/D6",9,"ENSG00000172602","M8/D6","ENSG00000172602 M8/D6",0.523524117031789,0.000571185594918391
"1708","ENSG00000172650 M8/D6",4,"ENSG00000172650","M8/D6","ENSG00000172650 M8/D6",0.844503557026567,0.0920707349321105
"1711","ENSG00000172893 M8/D6",4,"ENSG00000172893","M8/D6","ENSG00000172893 M8/D6",1.1027281875414,0.171576925650489
"1714","ENSG00000172932 M8/D6",7,"ENSG00000172932","M8/D6","ENSG00000172932 M8/D6",1.11494514463492,0.0185853612247413
"1718","ENSG00000172965 M8/D6",4,"ENSG00000172965","M8/D6","ENSG00000172965 M8/D6",1.25611075394251,0.106936625288354
"1720","ENSG00000173273 M8/D6",6,"ENSG00000173273","M8/D6","ENSG00000173273 M8/D6",1.08238243947936,0.0354887053038156
"1723","ENSG00000173436 M8/D6",5,"ENSG00000173436","M8/D6","ENSG00000173436 M8/D6",0.883994810444574,0.0881907345950855
"1728","ENSG00000173930 M8/D6",10,"ENSG00000173930","M8/D6","ENSG00000173930 M8/D6",1.38698927840342,0.000484751488631903
"1730","ENSG00000174004 M8/D6",7,"ENSG00000174004","M8/D6","ENSG00000174004 M8/D6",1.13002115751843,0.0062839575791869
"1734","ENSG00000174171 M8/D6",5,"ENSG00000174171","M8/D6","ENSG00000174171 M8/D6",0.607454404030969,0.0485991865989798
"1739","ENSG00000174405 M8/D6",7,"ENSG00000174405","M8/D6","ENSG00000174405 M8/D6",0.838892116140331,0.0132768333783185
"1741","ENSG00000174501 M8/D6",9,"ENSG00000174501","M8/D6","ENSG00000174501 M8/D6",1.28417280256497,0.000923755731153632
"1744","ENSG00000174695 M8/D6",7,"ENSG00000174695","M8/D6","ENSG00000174695 M8/D6",0.912907252625045,0.0337037814075146
"1750","ENSG00000174749 M8/D6",9,"ENSG00000174749","M8/D6","ENSG00000174749 M8/D6",0.702538373504818,0.000213594301829049
"1753","ENSG00000174886 M8/D6",4,"ENSG00000174886","M8/D6","ENSG00000174886 M8/D6",0.90458535352167,0.10275917396447
"1761","ENSG00000175104 M8/D6",7,"ENSG00000175104","M8/D6","ENSG00000175104 M8/D6",0.830429716544529,0.0117782504854824
"1765","ENSG00000175592 M8/D6",9,"ENSG00000175592","M8/D6","ENSG00000175592 M8/D6",1.709937429904,0.00228546273454479
"1771","ENSG00000175711 M8/D6",5,"ENSG00000175711","M8/D6","ENSG00000175711 M8/D6",0.82536644895094,0.0348209971247075
"1774","ENSG00000176018 M8/D6",4,"ENSG00000176018","M8/D6","ENSG00000176018 M8/D6",0.855846809074883,0.156335960750495
"1782","ENSG00000176171 M8/D6",10,"ENSG00000176171","M8/D6","ENSG00000176171 M8/D6",0.800519659046434,0.00031552738802619
"1787","ENSG00000176225 M8/D6",5,"ENSG00000176225","M8/D6","ENSG00000176225 M8/D6",1.101081934301,0.0485412374414543
"1790","ENSG00000176894 M8/D6",5,"ENSG00000176894","M8/D6","ENSG00000176894 M8/D6",1.18289309354603,0.0509503111006319
"1796","ENSG00000177173 M8/D6",4,"ENSG00000177173","M8/D6","ENSG00000177173 M8/D6",0.937295937800854,0.247673148804627
"1798","ENSG00000177888 M8/D6",6,"ENSG00000177888","M8/D6","ENSG00000177888 M8/D6",1.16985713733832,0.0230196440758407
"1801","ENSG00000177963 M8/D6",6,"ENSG00000177963","M8/D6","ENSG00000177963 M8/D6",0.882799194009561,0.0193986142827353
"1808","ENSG00000178163 M8/D6",10,"ENSG00000178163","M8/D6","ENSG00000178163 M8/D6",0.584805276351023,3.25360535457041e-06
"1811","ENSG00000178201 M8/D6",6,"ENSG00000178201","M8/D6","ENSG00000178201 M8/D6",1.26792153816071,0.0276666200158988
"1819","ENSG00000178718 M8/D6",6,"ENSG00000178718","M8/D6","ENSG00000178718 M8/D6",0.732719284854167,0.0281188755653222
"1839","ENSG00000179873 M8/D6",10,"ENSG00000179873","M8/D6","ENSG00000179873 M8/D6",2.00566619858064,0.000250561874944643
"1843","ENSG00000180096 M8/D6",10,"ENSG00000180096","M8/D6","ENSG00000180096 M8/D6",0.75276606521796,0.00209405426675658
"1850","ENSG00000180573 M8/D6",7,"ENSG00000180573","M8/D6","ENSG00000180573 M8/D6",1.18245470769745,0.0232633291370243
"1853","ENSG00000180667 M8/D6",6,"ENSG00000180667","M8/D6","ENSG00000180667 M8/D6",0.879063653873464,0.00800787160933626
