"gene","compare","gene_compare","ubb"
"ENSG00000095015","D5/D6","ENSG00000095015 D5/D6",1.19860517647563
"ENSG00000095015","F7/D6","ENSG00000095015 F7/D6",5.585213071422
"ENSG00000095015","M8/D6","ENSG00000095015 M8/D6",3.83358749724509
"ENSG00000095209","F7/D6","ENSG00000095209 F7/D6",6.95837845938169
"ENSG00000095209","M8/D6","ENSG00000095209 M8/D6",3.29310023236812
"ENSG00000099282","D5/D6","ENSG00000099282 D5/D6",21.6925017864234
"ENSG00000099282","F7/D6","ENSG00000099282 F7/D6",87.6161466735185
"ENSG00000099282","M8/D6","ENSG00000099282 M8/D6",27.6628789180988
"ENSG00000099331","D5/D6","ENSG00000099331 D5/D6",2.79524974707451
"ENSG00000099904","D5/D6","ENSG00000099904 D5/D6",9.91772120428325
"ENSG00000099942","F7/D6","ENSG00000099942 F7/D6",2.11954622901249
"ENSG00000099942","M8/D6","ENSG00000099942 M8/D6",2.63973025111611
"ENSG00000100023","M8/D6","ENSG00000100023 M8/D6",6.37614354415756
"ENSG00000100030","D5/D6","ENSG00000100030 D5/D6",5.23026340277625
"ENSG00000100030","F7/D6","ENSG00000100030 F7/D6",2.61692677842178
"ENSG00000100105","D5/D6","ENSG00000100105 D5/D6",5.51638043469465
"ENSG00000100105","F7/D6","ENSG00000100105 F7/D6",3.93164310654398
"ENSG00000100105","M8/D6","ENSG00000100105 M8/D6",7.59573261647015
"ENSG00000100156","F7/D6","ENSG00000100156 F7/D6",47.6547581287256
"ENSG00000100239","D5/D6","ENSG00000100239 D5/D6",3.27941629193256
"ENSG00000100242","D5/D6","ENSG00000100242 D5/D6",2.0355776770647
"ENSG00000100242","F7/D6","ENSG00000100242 F7/D6",7.79342168291781
"ENSG00000100372","D5/D6","ENSG00000100372 D5/D6",7.12781683346745
"ENSG00000100372","M8/D6","ENSG00000100372 M8/D6",4.54143178371532
"ENSG00000100422","D5/D6","ENSG00000100422 D5/D6",1.67695114158922
"ENSG00000100422","F7/D6","ENSG00000100422 F7/D6",3.9743102341332
"ENSG00000100422","M8/D6","ENSG00000100422 M8/D6",3.6387011951706
"ENSG00000100483","D5/D6","ENSG00000100483 D5/D6",9.63315961277359
"ENSG00000100526","M8/D6","ENSG00000100526 M8/D6",17.3348943338881
"ENSG00000100591","F7/D6","ENSG00000100591 F7/D6",8.16848670746362
"ENSG00000100591","M8/D6","ENSG00000100591 M8/D6",4.04917600543426
"ENSG00000100603","D5/D6","ENSG00000100603 D5/D6",10.7046707346451
"ENSG00000100647","D5/D6","ENSG00000100647 D5/D6",3.37569237740319
"ENSG00000100647","M8/D6","ENSG00000100647 M8/D6",4.07986936264472
"ENSG00000100784","D5/D6","ENSG00000100784 D5/D6",4.81124909559321
"ENSG00000100784","M8/D6","ENSG00000100784 M8/D6",7.25429302493909
"ENSG00000100852","D5/D6","ENSG00000100852 D5/D6",11.3763418503261
"ENSG00000100852","F7/D6","ENSG00000100852 F7/D6",24.4674181957202
"ENSG00000100852","M8/D6","ENSG00000100852 M8/D6",9.09112647109524
"ENSG00000100902","D5/D6","ENSG00000100902 D5/D6",2.52478589142704
"ENSG00000100902","F7/D6","ENSG00000100902 F7/D6",8.0519928989063
"ENSG00000100902","M8/D6","ENSG00000100902 M8/D6",12.3851822447032
"ENSG00000100918","D5/D6","ENSG00000100918 D5/D6",6.14128235739171
"ENSG00000100918","F7/D6","ENSG00000100918 F7/D6",4.89132903675506
"ENSG00000100918","M8/D6","ENSG00000100918 M8/D6",5.83573462037245
"ENSG00000100968","D5/D6","ENSG00000100968 D5/D6",3.92446843518975
"ENSG00000100968","F7/D6","ENSG00000100968 F7/D6",12.5711247756388
"ENSG00000100968","M8/D6","ENSG00000100968 M8/D6",25.5156363485695
"ENSG00000100991","M8/D6","ENSG00000100991 M8/D6",3.085514345144
"ENSG00000101187","D5/D6","ENSG00000101187 D5/D6",11.9932451145797
"ENSG00000101187","F7/D6","ENSG00000101187 F7/D6",11.2012359812141
"ENSG00000101187","M8/D6","ENSG00000101187 M8/D6",17.6582496891995
"ENSG00000101191","F7/D6","ENSG00000101191 F7/D6",2.09440819529532
"ENSG00000101191","M8/D6","ENSG00000101191 M8/D6",2.86193189296652
"ENSG00000101307","D5/D6","ENSG00000101307 D5/D6",12.6126299722058
"ENSG00000101307","F7/D6","ENSG00000101307 F7/D6",18.6515352439578
"ENSG00000101307","M8/D6","ENSG00000101307 M8/D6",25.7982794289403
"ENSG00000101421","D5/D6","ENSG00000101421 D5/D6",3.2546848370823
"ENSG00000101493","D5/D6","ENSG00000101493 D5/D6",11.7648263824621
"ENSG00000101493","F7/D6","ENSG00000101493 F7/D6",4.42048285118505
"ENSG00000101493","M8/D6","ENSG00000101493 M8/D6",13.56210517345
"ENSG00000101546","D5/D6","ENSG00000101546 D5/D6",15.2727224808133
"ENSG00000101670","D5/D6","ENSG00000101670 D5/D6",13.6116050361927
"ENSG00000101670","F7/D6","ENSG00000101670 F7/D6",9.17545926219441
"ENSG00000101670","M8/D6","ENSG00000101670 M8/D6",20.4494283736905
"ENSG00000102699","D5/D6","ENSG00000102699 D5/D6",1.93228989562486
"ENSG00000102699","F7/D6","ENSG00000102699 F7/D6",4.18981734641541
"ENSG00000102699","M8/D6","ENSG00000102699 M8/D6",1.8387724695566
"ENSG00000103150","F7/D6","ENSG00000103150 F7/D6",9.88968497915474
"ENSG00000103569","D5/D6","ENSG00000103569 D5/D6",4.59909934974672
"ENSG00000103569","F7/D6","ENSG00000103569 F7/D6",1.59656043739325
"ENSG00000103569","M8/D6","ENSG00000103569 M8/D6",13.8256393516816
"ENSG00000103942","D5/D6","ENSG00000103942 D5/D6",11.5240718163029
"ENSG00000103942","F7/D6","ENSG00000103942 F7/D6",3.61396351856576
"ENSG00000103942","M8/D6","ENSG00000103942 M8/D6",13.5705959096793
"ENSG00000104518","M8/D6","ENSG00000104518 M8/D6",7.17229305573889
"ENSG00000104691","M8/D6","ENSG00000104691 M8/D6",12.5988828897101
"ENSG00000104763","D5/D6","ENSG00000104763 D5/D6",13.6132483265209
"ENSG00000104833","F7/D6","ENSG00000104833 F7/D6",19.48086406395
"ENSG00000104833","M8/D6","ENSG00000104833 M8/D6",18.5369490157645
"ENSG00000104872","M8/D6","ENSG00000104872 M8/D6",4.79769138427645
"ENSG00000104880","M8/D6","ENSG00000104880 M8/D6",15.8124234221219
"ENSG00000104907","D5/D6","ENSG00000104907 D5/D6",5.92533554659066
"ENSG00000104907","M8/D6","ENSG00000104907 M8/D6",11.2967395841476
"ENSG00000104979","M8/D6","ENSG00000104979 M8/D6",12.2543045670777
"ENSG00000105127","D5/D6","ENSG00000105127 D5/D6",6.01975328993578
"ENSG00000105127","F7/D6","ENSG00000105127 F7/D6",3.65958271552138
"ENSG00000105127","M8/D6","ENSG00000105127 M8/D6",3.62796113368585
"ENSG00000105248","D5/D6","ENSG00000105248 D5/D6",5.69469246082019
"ENSG00000105327","M8/D6","ENSG00000105327 M8/D6",12.2936914896481
"ENSG00000105576","D5/D6","ENSG00000105576 D5/D6",3.50678127484902
"ENSG00000105576","F7/D6","ENSG00000105576 F7/D6",4.02081262335644
"ENSG00000105642","D5/D6","ENSG00000105642 D5/D6",4.91902070390226
"ENSG00000105642","F7/D6","ENSG00000105642 F7/D6",10.7252169511808
"ENSG00000105642","M8/D6","ENSG00000105642 M8/D6",10.8753949346993
"ENSG00000105656","D5/D6","ENSG00000105656 D5/D6",3.06656450945282
"ENSG00000105656","M8/D6","ENSG00000105656 M8/D6",5.63446501458622
"ENSG00000105662","M8/D6","ENSG00000105662 M8/D6",13.1524752126969
"ENSG00000105675","F7/D6","ENSG00000105675 F7/D6",44.7924291097952
"ENSG00000105755","D5/D6","ENSG00000105755 D5/D6",9.53838415085736
"ENSG00000105755","M8/D6","ENSG00000105755 M8/D6",12.6347562969682
"ENSG00000105967","D5/D6","ENSG00000105967 D5/D6",73.013649463858
"ENSG00000105967","M8/D6","ENSG00000105967 M8/D6",54.1982261430322
"ENSG00000106341","M8/D6","ENSG00000106341 M8/D6",566.960733509928
"ENSG00000106479","M8/D6","ENSG00000106479 M8/D6",3.96057889307511
"ENSG00000106624","D5/D6","ENSG00000106624 D5/D6",4.051672160338
"ENSG00000106624","F7/D6","ENSG00000106624 F7/D6",4.73798636823749
"ENSG00000106624","M8/D6","ENSG00000106624 M8/D6",12.1787537841817
"ENSG00000106682","D5/D6","ENSG00000106682 D5/D6",2.95735723081929
"ENSG00000106682","M8/D6","ENSG00000106682 M8/D6",1.40599276622515
"ENSG00000106771","D5/D6","ENSG00000106771 D5/D6",4.40201799501853
"ENSG00000106771","F7/D6","ENSG00000106771 F7/D6",3.70091695795634
"ENSG00000106780","M8/D6","ENSG00000106780 M8/D6",8.50786881705716
"ENSG00000107014","D5/D6","ENSG00000107014 D5/D6",13.3611722582
"ENSG00000107249","D5/D6","ENSG00000107249 D5/D6",2.80504973404849
"ENSG00000107249","F7/D6","ENSG00000107249 F7/D6",2.26320622777229
"ENSG00000107249","M8/D6","ENSG00000107249 M8/D6",4.47165607671552
"ENSG00000107902","D5/D6","ENSG00000107902 D5/D6",26.4478068541043
"ENSG00000107902","F7/D6","ENSG00000107902 F7/D6",6.40313672409914
"ENSG00000107957","D5/D6","ENSG00000107957 D5/D6",1.06111039656861
"ENSG00000108557","F7/D6","ENSG00000108557 F7/D6",8.92036309869756
"ENSG00000108557","M8/D6","ENSG00000108557 M8/D6",15.4220389173935
"ENSG00000108582","D5/D6","ENSG00000108582 D5/D6",5.62607566165797
"ENSG00000108582","F7/D6","ENSG00000108582 F7/D6",7.23955618386667
"ENSG00000108784","D5/D6","ENSG00000108784 D5/D6",11.2210631244216
"ENSG00000109163","D5/D6","ENSG00000109163 D5/D6",3.53469673552555
"ENSG00000109163","M8/D6","ENSG00000109163 M8/D6",12.0013259751201
"ENSG00000109670","D5/D6","ENSG00000109670 D5/D6",3.60467098634532
"ENSG00000109670","F7/D6","ENSG00000109670 F7/D6",6.34338301297542
"ENSG00000109684","D5/D6","ENSG00000109684 D5/D6",1.60396164795292
