"","uchar","gene_compare","gene","compare"
"ENSG00000019186 M8/D6",18.3596511524614,"ENSG00000019186 M8/D6","ENSG00000019186","M8/D6"
"ENSG00000023734 D5/D6",1.8367909195967,"ENSG00000023734 D5/D6","ENSG00000023734","D5/D6"
"ENSG00000023734 F7/D6",2.92444533495458,"ENSG00000023734 F7/D6","ENSG00000023734","F7/D6"
"ENSG00000023734 M8/D6",3.54043312103384,"ENSG00000023734 M8/D6","ENSG00000023734","M8/D6"
"ENSG00000023902 D5/D6",6.66947620023814,"ENSG00000023902 D5/D6","ENSG00000023902","D5/D6"
"ENSG00000023902 F7/D6",3.94234653108039,"ENSG00000023902 F7/D6","ENSG00000023902","F7/D6"
"ENSG00000023902 M8/D6",4.15152666963994,"ENSG00000023902 M8/D6","ENSG00000023902","M8/D6"
"ENSG00000023909 D5/D6",2.28954182677135,"ENSG00000023909 D5/D6","ENSG00000023909","D5/D6"
"ENSG00000023909 F7/D6",1.29335363459758,"ENSG00000023909 F7/D6","ENSG00000023909","F7/D6"
"ENSG00000023909 M8/D6",0.463353199907941,"ENSG00000023909 M8/D6","ENSG00000023909","M8/D6"
"ENSG00000030419 D5/D6",2.65525369164879,"ENSG00000030419 D5/D6","ENSG00000030419","D5/D6"
"ENSG00000030419 F7/D6",1.79585437184478,"ENSG00000030419 F7/D6","ENSG00000030419","F7/D6"
"ENSG00000030419 M8/D6",2.42975087325513,"ENSG00000030419 M8/D6","ENSG00000030419","M8/D6"
"ENSG00000031081 D5/D6",1.12854924414351,"ENSG00000031081 D5/D6","ENSG00000031081","D5/D6"
"ENSG00000031081 F7/D6",0.910331626279928,"ENSG00000031081 F7/D6","ENSG00000031081","F7/D6"
"ENSG00000031081 M8/D6",0.881110763875533,"ENSG00000031081 M8/D6","ENSG00000031081","M8/D6"
"ENSG00000034693 D5/D6",1.87128507481463,"ENSG00000034693 D5/D6","ENSG00000034693","D5/D6"
"ENSG00000034693 F7/D6",1.03423974383946,"ENSG00000034693 F7/D6","ENSG00000034693","F7/D6"
"ENSG00000034693 M8/D6",1.37316034477722,"ENSG00000034693 M8/D6","ENSG00000034693","M8/D6"
"ENSG00000042813 D5/D6",20.9100159521033,"ENSG00000042813 D5/D6","ENSG00000042813","D5/D6"
"ENSG00000042813 F7/D6",16.0136375471837,"ENSG00000042813 F7/D6","ENSG00000042813","F7/D6"
"ENSG00000042813 M8/D6",18.6601017458721,"ENSG00000042813 M8/D6","ENSG00000042813","M8/D6"
"ENSG00000042832 D5/D6",29.8764121572506,"ENSG00000042832 D5/D6","ENSG00000042832","D5/D6"
"ENSG00000042832 F7/D6",52.6819757657169,"ENSG00000042832 F7/D6","ENSG00000042832","F7/D6"
"ENSG00000042832 M8/D6",50.359622876266,"ENSG00000042832 M8/D6","ENSG00000042832","M8/D6"
"ENSG00000046653 D5/D6",3.41329993924304,"ENSG00000046653 D5/D6","ENSG00000046653","D5/D6"
"ENSG00000046653 F7/D6",5.79785174576833,"ENSG00000046653 F7/D6","ENSG00000046653","F7/D6"
"ENSG00000046653 M8/D6",6.91240266561775,"ENSG00000046653 M8/D6","ENSG00000046653","M8/D6"
"ENSG00000047621 D5/D6",1.15553689222194,"ENSG00000047621 D5/D6","ENSG00000047621","D5/D6"
"ENSG00000047621 F7/D6",1.85209497801687,"ENSG00000047621 F7/D6","ENSG00000047621","F7/D6"
"ENSG00000047621 M8/D6",0.674221194079556,"ENSG00000047621 M8/D6","ENSG00000047621","M8/D6"
"ENSG00000049541 D5/D6",2.15757848293544,"ENSG00000049541 D5/D6","ENSG00000049541","D5/D6"
"ENSG00000049541 F7/D6",0.813970130170578,"ENSG00000049541 F7/D6","ENSG00000049541","F7/D6"
"ENSG00000049541 M8/D6",2.75087825259176,"ENSG00000049541 M8/D6","ENSG00000049541","M8/D6"
"ENSG00000051180 D5/D6",4.23795851240153,"ENSG00000051180 D5/D6","ENSG00000051180","D5/D6"
"ENSG00000051180 F7/D6",3.26785052377939,"ENSG00000051180 F7/D6","ENSG00000051180","F7/D6"
"ENSG00000051180 M8/D6",7.1496152058662,"ENSG00000051180 M8/D6","ENSG00000051180","M8/D6"
"ENSG00000052749 D5/D6",1.0368569006002,"ENSG00000052749 D5/D6","ENSG00000052749","D5/D6"
