"","gene","Freq","sample"
"573","ENSG00000156304",10,"D5"
"574","ENSG00000156500",10,"D5"
"575","ENSG00000156535",10,"D5"
"576","ENSG00000156802",10,"D5"
"577","ENSG00000156970",10,"D5"
"578","ENSG00000157303",10,"D5"
"579","ENSG00000157349",10,"D5"
"580","ENSG00000157379",10,"D5"
"581","ENSG00000157456",10,"D5"
"582","ENSG00000157470",10,"D5"
"583","ENSG00000157483",10,"D5"
"584","ENSG00000157510",10,"D5"
"585","ENSG00000157833",10,"D5"
"586","ENSG00000157837",10,"D5"
"587","ENSG00000157978",10,"D5"
"588","ENSG00000157992",10,"D5"
"589","ENSG00000158006",10,"D5"
"590","ENSG00000158286",10,"D5"
"591","ENSG00000158402",10,"D5"
"592","ENSG00000158528",10,"D5"
"593","ENSG00000158815",10,"D5"
"594","ENSG00000158869",10,"D5"
"595","ENSG00000159335",10,"D5"
"596","ENSG00000159339",10,"D5"
"599","ENSG00000159884",10,"D5"
"600","ENSG00000160013",10,"D5"
"601","ENSG00000160172",10,"D5"
"602","ENSG00000160193",10,"D5"
"603","ENSG00000160200",10,"D5"
"604","ENSG00000160229",10,"D5"
"605","ENSG00000160299",10,"D5"
"607","ENSG00000160404",10,"D5"
"608","ENSG00000160439",10,"D5"
"609","ENSG00000160446",10,"D5"
"610","ENSG00000160570",10,"D5"
"611","ENSG00000160613",10,"D5"
"612","ENSG00000160679",10,"D5"
"613","ENSG00000160683",10,"D5"
"614","ENSG00000160714",10,"D5"
"616","ENSG00000160991",10,"D5"
"617","ENSG00000161021",10,"D5"
"618","ENSG00000161055",10,"D5"
"619","ENSG00000161203",10,"D5"
"620","ENSG00000161682",10,"D5"
"621","ENSG00000161888",10,"D5"
"622","ENSG00000161920",10,"D5"
"623","ENSG00000161921",10,"D5"
"624","ENSG00000162408",10,"D5"
"628","ENSG00000162694",10,"D5"
"629","ENSG00000162702",10,"D5"
"630","ENSG00000162706",10,"D5"
"632","ENSG00000162729",10,"D5"
"633","ENSG00000162775",10,"D5"
"634","ENSG00000162804",10,"D5"
"635","ENSG00000162819",10,"D5"
"636","ENSG00000163026",10,"D5"
"637","ENSG00000163032",10,"D5"
"638","ENSG00000163166",10,"D5"
"639","ENSG00000163218",10,"D5"
"640","ENSG00000163312",10,"D5"
"641","ENSG00000163352",10,"D5"
