"library","value"
"M8_16_2",1.03806228373702
"M8_16_3",1.02768166089965
"D5_17_1",1.01041666666667
"D5_17_2",1
"D5_17_3",1.01041666666667
"D6_17_1",0.989583333333333
"D6_17_3",1.01041666666667
"F7_17_1",1
"F7_17_2",0.979166666666667
"F7_17_3",1
"M8_17_1",1
"M8_17_2",1.01041666666667
"M8_17_3",1.02083333333333
"D5_20_1",1.03846153846154
"D5_20_2",1.03846153846154
"D5_20_3",1.02797202797203
"D6_20_1",0.986013986013986
"D6_20_2",1.00699300699301
"D6_20_3",1.00699300699301
"F7_20_1",1.01748251748252
"F7_20_2",1.00699300699301
"F7_20_3",0.996503496503497
"M8_20_1",1.02797202797203
"M8_20_2",1.03846153846154
"M8_20_3",1.00699300699301
