"gene","compare","gene_compare","ubb"
"ENSG00000093009","M8/D6","ENSG00000093009 M8/D6",18.9683696898355
"ENSG00000095015","D5/D6","ENSG00000095015 D5/D6",7.1799129829498
"ENSG00000095015","F7/D6","ENSG00000095015 F7/D6",33.4566750011525
"ENSG00000095015","M8/D6","ENSG00000095015 M8/D6",22.9640461954938
"ENSG00000095209","F7/D6","ENSG00000095209 F7/D6",40.1710002340899
"ENSG00000095209","M8/D6","ENSG00000095209 M8/D6",19.0112008102957
"ENSG00000099282","D5/D6","ENSG00000099282 D5/D6",5.09480099098096
"ENSG00000099282","F7/D6","ENSG00000099282 F7/D6",20.5779321948727
"ENSG00000099282","M8/D6","ENSG00000099282 M8/D6",6.49703129279094
"ENSG00000099331","D5/D6","ENSG00000099331 D5/D6",81.5046975006058
"ENSG00000099904","D5/D6","ENSG00000099904 D5/D6",47.0885105502463
"ENSG00000099942","F7/D6","ENSG00000099942 F7/D6",45.0268608950195
"ENSG00000099942","M8/D6","ENSG00000099942 M8/D6",56.0774590289343
"ENSG00000100023","M8/D6","ENSG00000100023 M8/D6",28.1266577649998
"ENSG00000100030","D5/D6","ENSG00000100030 D5/D6",60.0435826464061
"ENSG00000100030","F7/D6","ENSG00000100030 F7/D6",30.042398862045
"ENSG00000100105","D5/D6","ENSG00000100105 D5/D6",42.3662631123358
"ENSG00000100105","F7/D6","ENSG00000100105 F7/D6",30.1953478893564
"ENSG00000100105","M8/D6","ENSG00000100105 M8/D6",58.3358617792897
"ENSG00000100156","F7/D6","ENSG00000100156 F7/D6",13.281263085933
"ENSG00000100239","D5/D6","ENSG00000100239 D5/D6",38.9459555059395
"ENSG00000100242","D5/D6","ENSG00000100242 D5/D6",36.5352140798242
"ENSG00000100242","F7/D6","ENSG00000100242 F7/D6",139.878881954696
"ENSG00000100372","D5/D6","ENSG00000100372 D5/D6",39.1277979458929
"ENSG00000100372","M8/D6","ENSG00000100372 M8/D6",24.9299651449974
"ENSG00000100422","D5/D6","ENSG00000100422 D5/D6",16.636594640476
"ENSG00000100422","F7/D6","ENSG00000100422 F7/D6",39.4280946540336
"ENSG00000100422","M8/D6","ENSG00000100422 M8/D6",36.098604962635
"ENSG00000100483","D5/D6","ENSG00000100483 D5/D6",36.3751856808111
"ENSG00000100526","M8/D6","ENSG00000100526 M8/D6",26.2297487074731
"ENSG00000100591","F7/D6","ENSG00000100591 F7/D6",152.400998864229
"ENSG00000100591","M8/D6","ENSG00000100591 M8/D6",75.5462412935557
"ENSG00000100603","D5/D6","ENSG00000100603 D5/D6",190.153410939474
"ENSG00000100647","D5/D6","ENSG00000100647 D5/D6",69.3758062967008
"ENSG00000100647","M8/D6","ENSG00000100647 M8/D6",83.8477547638452
"ENSG00000100784","D5/D6","ENSG00000100784 D5/D6",1.85067048909894
"ENSG00000100784","M8/D6","ENSG00000100784 M8/D6",2.79039928172244
"ENSG00000100852","D5/D6","ENSG00000100852 D5/D6",32.6655924739059
"ENSG00000100852","F7/D6","ENSG00000100852 F7/D6",70.2548079325796
"ENSG00000100852","M8/D6","ENSG00000100852 M8/D6",26.1039125178033
"ENSG00000100902","D5/D6","ENSG00000100902 D5/D6",32.679158903288
"ENSG00000100902","F7/D6","ENSG00000100902 F7/D6",104.219671190724
"ENSG00000100902","M8/D6","ENSG00000100902 M8/D6",160.305608485509
"ENSG00000100918","D5/D6","ENSG00000100918 D5/D6",42.0725934081332
"ENSG00000100918","F7/D6","ENSG00000100918 F7/D6",33.5094343188927
"ENSG00000100918","M8/D6","ENSG00000100918 M8/D6",39.9793521340346
"ENSG00000100968","D5/D6","ENSG00000100968 D5/D6",5.14431223805905
"ENSG00000100968","F7/D6","ENSG00000100968 F7/D6",16.4786115871407
"ENSG00000100968","M8/D6","ENSG00000100968 M8/D6",33.4466699114791
"ENSG00000100991","M8/D6","ENSG00000100991 M8/D6",92.8180775147282
"ENSG00000101187","D5/D6","ENSG00000101187 D5/D6",40.8105691679681
"ENSG00000101187","F7/D6","ENSG00000101187 F7/D6",38.1155234809934
"ENSG00000101187","M8/D6","ENSG00000101187 M8/D6",60.0874253333044
"ENSG00000101191","F7/D6","ENSG00000101191 F7/D6",30.4770884192958
"ENSG00000101191","M8/D6","ENSG00000101191 M8/D6",41.6458222174043
"ENSG00000101307","D5/D6","ENSG00000101307 D5/D6",1.69921493753223
"ENSG00000101307","F7/D6","ENSG00000101307 F7/D6",2.51279609124212
"ENSG00000101307","M8/D6","ENSG00000101307 M8/D6",3.47562894217052
"ENSG00000101421","D5/D6","ENSG00000101421 D5/D6",106.207013936157
"ENSG00000101493","D5/D6","ENSG00000101493 D5/D6",90.0816037219245
"ENSG00000101493","F7/D6","ENSG00000101493 F7/D6",33.8470090007976
"ENSG00000101493","M8/D6","ENSG00000101493 M8/D6",103.843112014894
"ENSG00000101546","D5/D6","ENSG00000101546 D5/D6",58.0112264352347
"ENSG00000101670","D5/D6","ENSG00000101670 D5/D6",3.87398211745228
"ENSG00000101670","F7/D6","ENSG00000101670 F7/D6",2.61141614134695
"ENSG00000101670","M8/D6","ENSG00000101670 M8/D6",5.82008658208594
"ENSG00000102699","D5/D6","ENSG00000102699 D5/D6",53.4886455489943
"ENSG00000102699","F7/D6","ENSG00000102699 F7/D6",115.980348220458
"ENSG00000102699","M8/D6","ENSG00000102699 M8/D6",50.8999447195041
"ENSG00000103150","F7/D6","ENSG00000103150 F7/D6",20.4563168565866
"ENSG00000103569","D5/D6","ENSG00000103569 D5/D6",8.49504415465986
"ENSG00000103569","F7/D6","ENSG00000103569 F7/D6",2.9490233586682
"ENSG00000103569","M8/D6","ENSG00000103569 M8/D6",25.5374819779456
"ENSG00000103942","D5/D6","ENSG00000103942 D5/D6",6.56164044872323
"ENSG00000103942","F7/D6","ENSG00000103942 F7/D6",2.0577387560258
"ENSG00000103942","M8/D6","ENSG00000103942 M8/D6",7.72690178034632
"ENSG00000104518","M8/D6","ENSG00000104518 M8/D6",34.762095384296
"ENSG00000104691","M8/D6","ENSG00000104691 M8/D6",22.0472821245577
"ENSG00000104763","D5/D6","ENSG00000104763 D5/D6",118.55503079969
"ENSG00000104833","F7/D6","ENSG00000104833 F7/D6",15.5208431708981
"ENSG00000104833","M8/D6","ENSG00000104833 M8/D6",14.7688047920334
"ENSG00000104872","M8/D6","ENSG00000104872 M8/D6",43.6214228673469
"ENSG00000104880","M8/D6","ENSG00000104880 M8/D6",127.758890261488
"ENSG00000104907","D5/D6","ENSG00000104907 D5/D6",59.6484025826895
"ENSG00000104907","M8/D6","ENSG00000104907 M8/D6",113.720558994293
"ENSG00000104979","M8/D6","ENSG00000104979 M8/D6",74.624743140908
"ENSG00000105127","D5/D6","ENSG00000105127 D5/D6",61.7688142344285
"ENSG00000105127","F7/D6","ENSG00000105127 F7/D6",37.5510546766904
"ENSG00000105127","M8/D6","ENSG00000105127 M8/D6",37.2265849650391
"ENSG00000105248","D5/D6","ENSG00000105248 D5/D6",84.349373120508
"ENSG00000105327","M8/D6","ENSG00000105327 M8/D6",81.8942608846684
"ENSG00000105576","D5/D6","ENSG00000105576 D5/D6",46.675861611566
"ENSG00000105576","F7/D6","ENSG00000105576 F7/D6",53.5177072262379
"ENSG00000105642","D5/D6","ENSG00000105642 D5/D6",6.16335787367178
"ENSG00000105642","F7/D6","ENSG00000105642 F7/D6",13.4383151285496
"ENSG00000105642","M8/D6","ENSG00000105642 M8/D6",13.6264827970525
"ENSG00000105656","D5/D6","ENSG00000105656 D5/D6",25.8373464053398
"ENSG00000105656","M8/D6","ENSG00000105656 M8/D6",47.4731980827001
"ENSG00000105662","M8/D6","ENSG00000105662 M8/D6",8.777396615549
"ENSG00000105675","F7/D6","ENSG00000105675 F7/D6",6.63711171041842
"ENSG00000105755","D5/D6","ENSG00000105755 D5/D6",67.1125920386097
"ENSG00000105755","M8/D6","ENSG00000105755 M8/D6",88.8988356365857
"ENSG00000105967","D5/D6","ENSG00000105967 D5/D6",2.16389969176195
"ENSG00000105967","M8/D6","ENSG00000105967 M8/D6",1.60626849508468
"ENSG00000106341","M8/D6","ENSG00000106341 M8/D6",12.4320836222245
"ENSG00000106479","M8/D6","ENSG00000106479 M8/D6",16.7171401587368
"ENSG00000106624","D5/D6","ENSG00000106624 D5/D6",8.9401253889689
"ENSG00000106624","F7/D6","ENSG00000106624 F7/D6",10.4544964515922
"ENSG00000106624","M8/D6","ENSG00000106624 M8/D6",26.8727531752917
"ENSG00000106682","D5/D6","ENSG00000106682 D5/D6",362.745942537272
"ENSG00000106682","M8/D6","ENSG00000106682 M8/D6",172.457410917395
"ENSG00000106771","D5/D6","ENSG00000106771 D5/D6",27.1192312292133
"ENSG00000106771","F7/D6","ENSG00000106771 F7/D6",22.8000028297277
"ENSG00000106780","M8/D6","ENSG00000106780 M8/D6",16.5156896474211
"ENSG00000107014","D5/D6","ENSG00000107014 D5/D6",10.1349248058457
"ENSG00000107249","D5/D6","ENSG00000107249 D5/D6",1.57051477933751
"ENSG00000107249","F7/D6","ENSG00000107249 F7/D6",1.26714289100146
"ENSG00000107249","M8/D6","ENSG00000107249 M8/D6",2.5036283212206
"ENSG00000107902","D5/D6","ENSG00000107902 D5/D6",18.1569563524088
"ENSG00000107902","F7/D6","ENSG00000107902 F7/D6",4.39588335846954
"ENSG00000107957","D5/D6","ENSG00000107957 D5/D6",7.85125249445008
"ENSG00000108557","F7/D6","ENSG00000108557 F7/D6",79.0473120189505
"ENSG00000108557","M8/D6","ENSG00000108557 M8/D6",136.661558367461
"ENSG00000108582","D5/D6","ENSG00000108582 D5/D6",22.189212809906
"ENSG00000108582","F7/D6","ENSG00000108582 F7/D6",28.5527715007211
"ENSG00000108784","D5/D6","ENSG00000108784 D5/D6",101.866445473219
"ENSG00000109163","D5/D6","ENSG00000109163 D5/D6",4.54820152508639
"ENSG00000109163","M8/D6","ENSG00000109163 M8/D6",15.442470227926
"ENSG00000109670","D5/D6","ENSG00000109670 D5/D6",52.8010066915593
"ENSG00000109670","F7/D6","ENSG00000109670 F7/D6",92.9174979308784
"ENSG00000109684","D5/D6","ENSG00000109684 D5/D6",4.29290353668627
"ENSG00000109684","F7/D6","ENSG00000109684 F7/D6",14.0309665447976
"ENSG00000109684","M8/D6","ENSG00000109684 M8/D6",6.23792604734988
"ENSG00000109814","D5/D6","ENSG00000109814 D5/D6",41.7571964694636
"ENSG00000109814","M8/D6","ENSG00000109814 M8/D6",29.1580589090549
"ENSG00000109943","M8/D6","ENSG00000109943 M8/D6",0.488443917749062
"ENSG00000110665","F7/D6","ENSG00000110665 F7/D6",5.66384131422613
"ENSG00000110665","M8/D6","ENSG00000110665 M8/D6",15.7045773448568
"ENSG00000110717","M8/D6","ENSG00000110717 M8/D6",67.63035951744
"ENSG00000110900","D5/D6","ENSG00000110900 D5/D6",13.5059082845256
"ENSG00000110900","F7/D6","ENSG00000110900 F7/D6",121.670797624421
"ENSG00000110900","M8/D6","ENSG00000110900 M8/D6",29.4945701814265
"ENSG00000111266","F7/D6","ENSG00000111266 F7/D6",78.7428948980337
"ENSG00000111266","M8/D6","ENSG00000111266 M8/D6",39.7577655180059
"ENSG00000111445","M8/D6","ENSG00000111445 M8/D6",34.6101026490006
"ENSG00000111481","D5/D6","ENSG00000111481 D5/D6",78.3630678062663
"ENSG00000111481","M8/D6","ENSG00000111481 M8/D6",128.20117761573
"ENSG00000111832","F7/D6","ENSG00000111832 F7/D6",29.9841622429257
"ENSG00000111845","D5/D6","ENSG00000111845 D5/D6",69.293269831852
"ENSG00000111845","M8/D6","ENSG00000111845 M8/D6",83.3826225337219
"ENSG00000111850","F7/D6","ENSG00000111850 F7/D6",4.46473030210403
"ENSG00000111961","D5/D6","ENSG00000111961 D5/D6",0.471896491647554
"ENSG00000111961","F7/D6","ENSG00000111961 F7/D6",0.479914941642608
"ENSG00000112118","D5/D6","ENSG00000112118 D5/D6",79.0196640194032
"ENSG00000112118","M8/D6","ENSG00000112118 M8/D6",60.971609762343
"ENSG00000112651","D5/D6","ENSG00000112651 D5/D6",64.0908506528331
"ENSG00000113387","F7/D6","ENSG00000113387 F7/D6",68.2058937984608
"ENSG00000113387","M8/D6","ENSG00000113387 M8/D6",66.6386850170414
"ENSG00000114251","D5/D6","ENSG00000114251 D5/D6",28.9799331169032
"ENSG00000114251","F7/D6","ENSG00000114251 F7/D6",13.1401908158473
"ENSG00000114251","M8/D6","ENSG00000114251 M8/D6",16.6276681207402
"ENSG00000114767","D5/D6","ENSG00000114767 D5/D6",103.565834169015
"ENSG00000114767","M8/D6","ENSG00000114767 M8/D6",180.286957059353
"ENSG00000114948","D5/D6","ENSG00000114948 D5/D6",1.86411268972773
"ENSG00000114948","F7/D6","ENSG00000114948 F7/D6",4.20178532663567
"ENSG00000114948","M8/D6","ENSG00000114948 M8/D6",1.73306776574288
"ENSG00000115053","D5/D6","ENSG00000115053 D5/D6",340.387081125463
"ENSG00000115053","F7/D6","ENSG00000115053 F7/D6",475.168466686522
"ENSG00000115053","M8/D6","ENSG00000115053 M8/D6",259.932691485266
"ENSG00000115129","D5/D6","ENSG00000115129 D5/D6",25.2867019886991
"ENSG00000115129","M8/D6","ENSG00000115129 M8/D6",25.4430905359307
"ENSG00000115204","D5/D6","ENSG00000115204 D5/D6",45.0587938456299
"ENSG00000115204","M8/D6","ENSG00000115204 M8/D6",30.9906160786536
"ENSG00000115207","D5/D6","ENSG00000115207 D5/D6",11.8688536330719
"ENSG00000115306","D5/D6","ENSG00000115306 D5/D6",64.2514134453313
"ENSG00000115306","F7/D6","ENSG00000115306 F7/D6",64.7081255437734
"ENSG00000115306","M8/D6","ENSG00000115306 M8/D6",83.8824794434905
"ENSG00000115310","D5/D6","ENSG00000115310 D5/D6",29.4662439073307
"ENSG00000115310","F7/D6","ENSG00000115310 F7/D6",25.8018226101893
"ENSG00000115339","D5/D6","ENSG00000115339 D5/D6",18.7050217093979
"ENSG00000115339","F7/D6","ENSG00000115339 F7/D6",13.0123802863151
"ENSG00000115339","M8/D6","ENSG00000115339 M8/D6",23.078403317454
"ENSG00000115425","D5/D6","ENSG00000115425 D5/D6",14.979710961516
"ENSG00000115425","F7/D6","ENSG00000115425 F7/D6",6.8140101512459
