"sample","gene","anova_p","mean_between","mean_intra","fdr"
"D5","ENSG00000230649",0.5377,-1.6903,-1.1325,0.9562
"D5","ENSG00000259187",0.1081,-4.3101,-6.6439,0.92
"D5","ENSG00000254099",0.7117,-1.9016,-1.538,0.9798
"D5","ENSG00000166582",0.2436,3.0388,3.1271,0.92
"D5","ENSG00000237770",0.9899,-4.8542,-4.8426,0.9976
"D5","ENSG00000152778",0.8208,4.3656,4.3482,0.9948
"D5","ENSG00000203995",0.7496,2.6986,2.7321,0.987
"D5","ENSG00000272798",0.9822,-1.6619,-1.691,0.9976
"D5","ENSG00000106336",0.1625,-2.6939,-3.2411,0.92
"D5","ENSG00000124541",0.6985,3.5198,3.4861,0.9798
"D5","ENSG00000126001",0.5148,1.4927,1.4026,0.9562
"D5","ENSG00000232162",0.569,1.1433,1.2936,0.9713
"D5","ENSG00000259327",0.376,-6.1924,-5.4096,0.9223
"D5","ENSG00000170759",0.3755,4.7765,4.7251,0.9223
"D5","ENSG00000263338",0.0928,-0.9101,-1.6324,0.8981
"D5","ENSG00000107147",0.4657,-5.2514,-4.9543,0.9535
"D5","ENSG00000141101",0.8622,5.4841,5.4969,0.9948
"D5","ENSG00000236449",0.1797,-0.8614,-0.6083,0.92
"D5","ENSG00000159339",0.3371,-4.4163,-3.4668,0.9223
"D5","ENSG00000107014",0.4776,-1.3282,-1.0093,0.9562
"D5","ENSG00000072694",0.3078,3.0865,3.1637,0.9223
"D5","ENSG00000178163",0.7947,2.553,2.5772,0.9942
"D5","ENSG00000237399",0.4477,-0.1729,0.1314,0.9502
"D5","ENSG00000117362",0.6791,3.7248,3.6943,0.9798
"D5","ENSG00000168955",0.8247,-2.2264,-2.05,0.9948
"D5","ENSG00000145780",0.5058,2.5844,2.6354,0.9562
"D5","ENSG00000066933",0.5908,1.6928,1.7403,0.9765
"D5","ENSG00000198909",0.8301,2.5808,2.5645,0.9948
"D5","ENSG00000115129",0.9334,1.0509,1.0692,0.9962
"D5","ENSG00000271992",0.0911,3.2646,3.6196,0.8981
"D5","ENSG00000161888",0.4094,-0.9852,-0.7616,0.9444
"D5","ENSG00000279629",0.4219,-3.1674,-4.1989,0.947
"D5","ENSG00000211869",0.2708,0.5364,1.1647,0.92
"D5","ENSG00000163218",0.1567,-3.845,-5.3217,0.92
"D5","ENSG00000232466",0.4576,1.7711,2.0299,0.9503
"D5","ENSG00000272501",0.1276,1.0865,1.2703,0.92
"D5","ENSG00000120942",0.5776,2.7102,2.7425,0.9722
"D5","ENSG00000269901",0.3668,0.3905,0.6464,0.9223
"D5","ENSG00000229473",0.6921,1.6669,1.7837,0.9798
"D5","ENSG00000279114",0.8232,-2.7654,-2.601,0.9948
"D5","ENSG00000122778",0.4651,-0.5372,-0.4587,0.9535
"D5","ENSG00000164591",0.902,-3.5072,-3.4455,0.9948
"D5","ENSG00000254266",0.5804,-1.5474,-1.3727,0.9722
"D5","ENSG00000167604",0.6335,2.6864,2.7265,0.9786
"D5","ENSG00000204519",0.8531,0.6858,0.5186,0.9948
"D5","ENSG00000277130",0.4206,0.0866,0.312,0.947
"D5","ENSG00000186814",0.4058,1.9905,2.0658,0.9394
"D5","ENSG00000140153",0.2362,1.2402,1.5864,0.92
