"sample","gene","anova_p","mean_between","mean_intra","fdr"
"D6","ENSG00000241429",0.6552,-0.2602,-0.1592,0.9954
"D6","ENSG00000197013",0.7729,0.5259,0.5662,0.9954
"D6","ENSG00000170092",0.9132,0.1498,0.1339,0.997
"D6","ENSG00000113389",0.1028,-5.983,-6.6439,0.9954
"D6","ENSG00000209482",0.4827,2.9437,2.7759,0.9954
"D6","ENSG00000227351",0.5664,-4.8876,-4.1487,0.9954
"D6","ENSG00000237286",0.3181,1.4523,1.2528,0.9954
"D6","ENSG00000122912",0.8819,1.0741,1.0925,0.9954
"D6","ENSG00000131558",0.064,2.904,3.0556,0.9552
"D6","ENSG00000104872",0.5007,3.1711,3.2521,0.9954
"D6","ENSG00000285458",0.1849,-0.9698,-1.4109,0.9954
"D6","ENSG00000243230",0.6432,-3.8348,-3.0697,0.9954
"D6","ENSG00000159335",0.6995,2.4035,2.4785,0.9954
"D6","ENSG00000180884",0.692,1.0133,0.9536,0.9954
"D6","ENSG00000158528",0.7094,-5.1553,-5.37,0.9954
"D6","ENSG00000280234",0.274,-4.0255,-5.3465,0.9954
"D6","ENSG00000187999",0.0156,-3.2772,-6.2473,0.8549
"D6","ENSG00000204084",0.0451,3.6474,3.7563,0.952
"D6","ENSG00000164199",0.7778,-5.1244,-5.0339,0.9954
"D6","ENSG00000155592",0.8929,1.4621,1.4472,0.9954
"D6","ENSG00000196268",0.3248,0.7716,0.6305,0.9954
"D6","ENSG00000234193",0.9876,-1.3354,-1.3528,0.9998
"D6","ENSG00000231468",0.5641,-0.7853,-0.1337,0.9954
"D6","ENSG00000249222",0.6474,-2.0511,-2.554,0.9954
"D6","ENSG00000015479",0.8783,3.318,3.3461,0.9954
"D6","ENSG00000230795",0.3333,-1.6857,-2.2673,0.9954
"D6","ENSG00000186642",0.5591,-4.3645,-4.6645,0.9954
"D6","ENSG00000256274",0.5568,-1.3678,-1.6808,0.9954
"D6","ENSG00000282961",0.8965,-2.3791,-2.3429,0.9961
"D6","ENSG00000259810",0.2586,-4.5248,-5.6321,0.9954
"D6","ENSG00000272855",0.232,-5.2912,-3.5516,0.9954
"D6","ENSG00000166471",0.699,2.1159,2.188,0.9954
"D6","ENSG00000100603",0.145,4.1731,4.0398,0.9954
"D6","ENSG00000238103",0.0683,1.5466,2.0042,0.969
"D6","ENSG00000254027",0.2746,-3.19,-1.8591,0.9954
"D6","ENSG00000254641",0.2726,-4.6826,-6.6439,0.9954
"D6","ENSG00000067596",0.3179,2.8511,2.8996,0.9954
"D6","ENSG00000224831",0.5285,-0.1631,0.0365,0.9954
"D6","ENSG00000263558",0.2061,-4.4696,-2.9095,0.9954
"D6","ENSG00000222506",0.8335,0.1928,0.4556,0.9954
"D6","ENSG00000258818",0.2631,-0.8476,-0.3673,0.9954
"D6","ENSG00000275630",0.5702,-3.9178,-4.9154,0.9954
"D6","ENSG00000069696",0.6977,-2.0534,-2.2937,0.9954
"D6","ENSG00000206418",0.8257,3.0145,3.042,0.9954
"D6","ENSG00000255669",0.2643,-1.6264,-1.9992,0.9954
"D6","ENSG00000106479",0.1209,2.0604,2.1634,0.9954
"D6","ENSG00000228507",0.3682,-1.297,-2.3952,0.9954
"D6","ENSG00000256407",0.4088,-5.0959,-4.1736,0.9954
"D6","ENSG00000285417",0.7895,-1.2666,-1.1642,0.9954
"D6","ENSG00000135838",0.0627,0.8011,0.5597,0.9549
"D6","ENSG00000166595",0.445,4.7479,4.6424,0.9954
"D6","ENSG00000272885",0.3452,-5.3333,-6.6439,0.9954
"D6","ENSG00000238273",0.4133,-4.0686,-4.8541,0.9954
"D6","ENSG00000185787",0.257,4.3224,4.4461,0.9954
"D6","ENSG00000151552",0.9917,2.0687,2.0673,0.9998
"D6","ENSG00000153956",0.7779,-6.3565,-6.2622,0.9954
"D6","ENSG00000276926",0.7805,2.6928,2.7511,0.9954
"D6","ENSG00000211639",0.3687,-1.7781,-2.9509,0.9954
"D6","ENSG00000252835",0.1826,5.7733,5.5447,0.9954
"D6","ENSG00000182308",0.4703,-1.4994,-1.6697,0.9954
"D6","ENSG00000125827",0.3221,2.8625,2.9354,0.9954
"D6","ENSG00000270751",0.4622,1.055,0.7959,0.9954
"D6","ENSG00000225779",0.6193,-0.0525,0.2091,0.9954
"D6","ENSG00000241014",1e-04,-2.0437,-0.0461,0.05
"D6","ENSG00000236447",0.3489,-1.7319,-3.2019,0.9954
"D6","ENSG00000264292",0.7027,-0.9634,-0.3858,0.9954
"D6","ENSG00000224533",0.0958,-1.8225,-3.7476,0.9954
"D6","ENSG00000236375",0.6396,1.4851,1.3488,0.9954
"D6","ENSG00000129911",0.5944,3.185,3.2519,0.9954
"D6","ENSG00000198841",0.7546,4.1908,4.2245,0.9954
"D6","ENSG00000280543",0.472,-0.3756,-0.5586,0.9954
"D6","ENSG00000172939",0.1558,3.6798,3.79,0.9954
"D6","ENSG00000090621",0.7956,5.0381,5.0167,0.9954
"D6","ENSG00000100234",0.3477,-6.4634,-6.1273,0.9954
"D6","ENSG00000236894",0.2955,-4.1786,-3.0816,0.9954
"D6","ENSG00000119431",0.0722,2.3075,2.5768,0.9742
"D6","ENSG00000133639",0.0395,6.0891,6.2936,0.952
"D6","ENSG00000210709",0.0419,-4.9666,-1.6018,0.952
"D6","ENSG00000104833",0.0541,-0.3999,0.0323,0.952
"D6","ENSG00000227057",0.5578,3.5294,3.6063,0.9954
"D6","ENSG00000138759",0.189,-5.8319,-5.3251,0.9954
"D6","ENSG00000160013",0.8582,1.5106,1.4865,0.9954
"D6","ENSG00000198039",0.0475,-0.2441,-0.5998,0.952
"D6","ENSG00000110422",0.0937,3.7605,3.8998,0.9954
"D6","ENSG00000269814",0.1478,-3.1378,-1.2381,0.9954
"D6","ENSG00000133226",0.0218,3.6371,3.3274,0.8549
"D6","ENSG00000166275",0.3719,1.3682,1.2118,0.9954
"D6","ENSG00000172301",0.4571,2.2917,2.4268,0.9954
"D6","ENSG00000234232",0.7959,-5.5192,-5.364,0.9954
"D6","ENSG00000261187",0.087,-1.1697,-0.439,0.9954
"D6","ENSG00000173436",0.0139,2.4158,2.6552,0.8549
"D6","ENSG00000257621",0.8943,2.4744,2.4968,0.9958
"D6","ENSG00000171467",0.8184,5.7659,5.773,0.9954
"D6","ENSG00000152454",0.1099,2.5529,2.3294,0.9954
"D6","ENSG00000132773",0.129,2.5299,2.7295,0.9954
"D6","ENSG00000227712",0.0554,-2.2452,-4.2149,0.952
"D6","ENSG00000274214",0.111,0.0839,1.0314,0.9954
"D6","ENSG00000253744",0.6009,1.1482,0.9828,0.9954
"D6","ENSG00000280399",0.7842,-2.9522,-2.7336,0.9954
"D6","ENSG00000254593",0.9486,1.3509,1.3297,0.9988
"D6","ENSG00000107957",0.9954,2.8874,2.8871,0.9998
"D6","ENSG00000255823",0.5792,-4.995,-4.2664,0.9954
"D6","ENSG00000259467",0.6847,-2.0551,-1.5749,0.9954
"D6","ENSG00000206815",0.0252,-2.6354,-6.6439,0.8842
"D6","ENSG00000146426",0.4475,0.4446,0.3824,0.9954
"D6","ENSG00000226377",0.544,-3.8518,-4.8389,0.9954
"D6","ENSG00000176868",0.0032,-5.8553,-2.3292,0.4714
"D6","ENSG00000081148",0.1529,-1.9117,-1.5188,0.9954
"D6","ENSG00000162729",0.8787,2.2795,2.2596,0.9954
"D6","ENSG00000105656",0.9076,3.0763,3.0672,0.997
"D6","ENSG00000233885",0.3176,0.8263,0.6907,0.9954
"D6","ENSG00000266654",0.406,-3.1979,-4.5524,0.9954
"D6","ENSG00000204366",0.4342,1.5016,1.375,0.9954
"D6","ENSG00000104808",0.8707,-4.2263,-4.0378,0.9954
"D6","ENSG00000157978",0.0478,0.9242,1.1517,0.952
"D6","ENSG00000176601",0.1576,-4.2173,-3.8129,0.9954
"D6","ENSG00000134508",0.1581,3.3884,3.5942,0.9954
"D6","ENSG00000230300",0.8026,1.1093,1.1871,0.9954
"D6","ENSG00000062485",0.7284,4.1356,4.2173,0.9954
"D6","ENSG00000162702",0.0281,3.1963,2.6096,0.9367
"D6","ENSG00000023902",0.5813,3.6929,3.7358,0.9954
"D6","ENSG00000140459",0.0018,-6.1508,-4.2014,0.36
"D6","ENSG00000283532",0.5083,-1.4844,-0.5308,0.9954
"D6","ENSG00000124422",0.6498,5.4298,5.4639,0.9954
"D6","ENSG00000164900",0.8406,-3.735,-3.9399,0.9954
"D6","ENSG00000200063",0.1127,-0.2481,-1.5215,0.9954
"D6","ENSG00000047621",0.8197,2.1836,2.2143,0.9954
"D6","ENSG00000174695",0.5018,2.751,2.8206,0.9954
"D6","ENSG00000227344",0.3798,-3.8256,-4.5317,0.9954
"D6","ENSG00000273611",0.0758,1.3037,1.0895,0.9742
"D6","ENSG00000071553",0.5673,3.711,3.7535,0.9954
"D6","ENSG00000231169",0.255,0.4187,-0.0363,0.9954
"D6","ENSG00000171316",0.89,2.7858,2.7744,0.9954
"D6","ENSG00000234118",0.9079,2.5992,2.621,0.997
"D6","ENSG00000233560",0.1048,0.4771,0.0897,0.9954
"D6","ENSG00000180098",0.3603,1.8949,1.8033,0.9954
"D6","ENSG00000135439",0.7396,2.5132,2.4901,0.9954
"D6","ENSG00000284642",0.2671,-5.0208,-3.558,0.9954
"D6","ENSG00000205937",0.1498,3.2725,3.3729,0.9954
"D6","ENSG00000269343",0.1731,3.0398,3.1526,0.9954
"D6","ENSG00000132591",0.5583,3.4374,3.6172,0.9954
"D6","ENSG00000233554",0.1585,-2.4894,-1.1632,0.9954
"D6","ENSG00000220201",0.5097,0.8798,0.9736,0.9954
"D6","ENSG00000271245",0.749,-5.0302,-5.4544,0.9954
"D6","ENSG00000229153",0.0939,-3.624,-2.9758,0.9954
"D6","ENSG00000101958",0.3646,-6.1637,-6.6439,0.9954
"D6","ENSG00000156273",0.9245,3.7677,3.7764,0.997
"D6","ENSG00000197093",0.666,0.6479,0.5517,0.9954
"D6","ENSG00000259196",0.909,-1.5327,-1.635,0.997
"D6","ENSG00000262413",0.2404,-0.8506,0.332,0.9954
"D6","ENSG00000086062",0.2922,5.3629,5.4204,0.9954
"D6","ENSG00000183856",0.8781,-0.4854,-0.5008,0.9954
"D6","ENSG00000224566",0.4444,-2.4972,-1.3557,0.9954
"D6","ENSG00000214940",0.7451,1.9005,1.8753,0.9954
"D6","ENSG00000145949",0.2343,-3.5489,-2.9134,0.9954
"D6","ENSG00000167178",0.331,-4.7915,-5.6331,0.9954
"D6","ENSG00000100591",0.5781,4.2283,4.1887,0.9954
"D6","ENSG00000148773",0.0783,1.893,1.7836,0.9742
"D6","ENSG00000108784",0.9811,3.1815,3.1867,0.9998
"D6","ENSG00000261774",0.342,-3.1412,-4.6794,0.9954
"D6","ENSG00000110077",0.5067,-5.7043,-6.16,0.9954
"D6","ENSG00000100242",0.2903,4.147,4.2596,0.9954
"D6","ENSG00000124074",0.6641,1.7425,1.8072,0.9954
"D6","ENSG00000136143",0.7428,1.345,1.3733,0.9954
"D6","ENSG00000165874",0.9599,-2.9548,-2.9268,0.9995
"D6","ENSG00000254634",0.556,2.4349,2.3815,0.9954
"D6","ENSG00000207956",0.7562,-0.0638,0.1091,0.9954
"D6","ENSG00000236663",0.8904,-2.3749,-2.623,0.9954
"D6","ENSG00000203799",0.21,-3.3985,-3.7787,0.9954
"D6","ENSG00000226890",0.3375,-2.7849,-1.297,0.9954
"D6","ENSG00000133466",0.7764,1.3331,1.3564,0.9954
"D6","ENSG00000247151",0.6365,-1.7018,-1.9249,0.9954
"D6","ENSG00000112651",0.3958,2.5128,2.6113,0.9954
"D6","ENSG00000244560",0.8754,-0.248,-0.1655,0.9954
"D6","ENSG00000168826",0.199,1.0475,1.3244,0.9954
"D6","ENSG00000088766",0.8024,1.9225,1.9513,0.9954
"D6","ENSG00000280145",0.9397,-1.0823,-1.0596,0.997
"D6","ENSG00000211840",0.6878,-0.231,0.2737,0.9954
"D6","ENSG00000272465",0.4126,-2.8283,-1.7502,0.9954
"D6","ENSG00000244052",0.9458,-1.6952,-1.7602,0.9982
"D6","ENSG00000160991",0.8242,3.1138,3.1466,0.9954
"D6","ENSG00000065717",0.0605,-4.4086,-5.8345,0.9528
"D6","ENSG00000256314",0.8858,-0.5334,-0.4576,0.9954
"D6","ENSG00000248152",0.8544,1.2754,1.2381,0.9954
"D6","ENSG00000276957",0.7517,-4.0692,-3.5829,0.9954
"D6","ENSG00000145936",0.3319,-4.6765,-4.0154,0.9954
"D6","ENSG00000271555",0.3928,-0.6743,-0.0206,0.9954
"D6","ENSG00000199592",0.4045,-2.1968,-3.4107,0.9954
"D6","ENSG00000105248",0.1502,3.9058,3.803,0.9954
"D6","ENSG00000123892",0.0688,2.4107,2.7164,0.969
"D6","ENSG00000259015",0.4754,0.2586,0.5049,0.9954
"D6","ENSG00000100744",0.2074,1.1033,1.3266,0.9954
"D6","ENSG00000077380",0.9147,3.0038,3.0132,0.997
"D6","ENSG00000099139",0.5937,-5.7733,-5.4839,0.9954
"D6","ENSG00000265462",0.2966,2.1633,2.5394,0.9954
"D6","ENSG00000204220",0.8894,2.1774,2.1886,0.9954
"D6","ENSG00000171490",0.591,4.6055,4.6419,0.9954
"D6","ENSG00000170667",0.5774,0.9826,0.8728,0.9954
"D6","ENSG00000153250",0.7544,-1.7224,-1.6707,0.9954
"D6","ENSG00000237938",0.7448,0.5212,0.4411,0.9954
"D6","ENSG00000236792",0.3516,-5.6494,-6.6439,0.9954
"D6","ENSG00000233509",0.4775,-0.9663,-0.3878,0.9954
"D6","ENSG00000199933",0.8733,-4.6484,-4.918,0.9954
"D6","ENSG00000283980",0.0786,-4.5212,-1.9006,0.9742
"D6","ENSG00000207281",0.2877,-3.4083,-1.553,0.9954
"D6","ENSG00000141560",0.9997,1.574,1.5739,0.9999
"D6","ENSG00000254003",0.1019,0.306,-0.2362,0.9954
"D6","ENSG00000228063",0.7752,-2.6003,-3.0428,0.9954
"D6","ENSG00000273496",0.8924,-2.3492,-2.5672,0.9954
"D6","ENSG00000186111",0.3441,2.7716,2.8552,0.9954
"D6","ENSG00000174886",0.608,2.8848,2.8156,0.9954
"D6","ENSG00000101421",0.4548,5.0405,4.9669,0.9954
"D6","ENSG00000206652",0.9416,5.8799,5.8613,0.997
"D6","ENSG00000252975",0.5926,0.2132,0.6876,0.9954
"D6","ENSG00000222145",0.7468,0.6697,0.7807,0.9954
"D6","ENSG00000049541",0.3893,3.1591,3.2898,0.9954
"D6","ENSG00000272130",0.7281,-1.8501,-2.2985,0.9954
"D6","ENSG00000231327",0.7763,0.2687,0.3586,0.9954
"D6","ENSG00000201736",0.8167,-0.5715,-0.7119,0.9954
"D6","ENSG00000268643",0.6142,-5.0642,-5.8709,0.9954
"D6","ENSG00000167608",0.8534,-1.586,-1.6479,0.9954
"D6","ENSG00000184792",0.1249,-1.3425,-1.6762,0.9954
"D6","ENSG00000261242",0.9219,-0.4567,-0.5017,0.997
"D6","ENSG00000269481",0.6647,2.5223,2.4552,0.9954
"D6","ENSG00000223225",0.3203,-2.0224,-3.6268,0.9954
"D6","ENSG00000246089",0.2165,0.9406,1.0999,0.9954
"D6","ENSG00000250116",0.5072,2.2958,2.3833,0.9954
"D6","ENSG00000238685",0.7118,2.4903,2.6277,0.9954
"D6","ENSG00000226360",0.0129,-0.7318,-0.2041,0.8549
"D6","ENSG00000134453",0.791,2.9445,2.9278,0.9954
"D6","ENSG00000057935",0.6879,1.6547,1.618,0.9954
"D6","ENSG00000100422",0.4677,3.3202,3.2618,0.9954
"D6","ENSG00000154845",0.9135,1.8858,1.8944,0.997
"D6","ENSG00000267501",0.4364,0.1146,0.3566,0.9954
"D6","ENSG00000142327",0.2661,3.4104,3.5805,0.9954
"D6","ENSG00000123268",0.9186,3.4412,3.4505,0.997
"D6","ENSG00000132823",0.162,4.0383,4.1167,0.9954
"D6","ENSG00000109943",0.3811,-3.4422,-4.2004,0.9954
"D6","ENSG00000198646",0.2706,2.3118,2.243,0.9954
"D6","ENSG00000234694",0.4508,-0.8352,-1.2317,0.9954
"D6","ENSG00000070061",0.1232,3.2384,3.3451,0.9954
"D6","ENSG00000166257",0.6594,-3.9653,-3.813,0.9954
"D6","ENSG00000189316",0.7469,-5.8299,-5.5163,0.9954
"D6","ENSG00000233382",0.7795,0.5562,0.5135,0.9954
"D6","ENSG00000241404",0.1623,-1.7401,-2.9699,0.9954
"D6","ENSG00000151353",0.3436,1.1771,1.2964,0.9954
"D6","ENSG00000259438",0.6844,-1.6139,-1.2104,0.9954
"D6","ENSG00000100852",0.4958,1.4791,1.7347,0.9954
"D6","ENSG00000204673",0.7431,2.6768,2.7148,0.9954
"D6","ENSG00000276282",0.2629,-0.735,0.5059,0.9954
"D6","ENSG00000250673",0.4672,-3.017,-2.322,0.9954
"D6","ENSG00000145391",0.5926,0.7745,0.7204,0.9954
"D6","ENSG00000260719",0.34,-0.0829,-0.3658,0.9954
"D6","ENSG00000135148",0.3952,4.7538,4.7947,0.9954
"D6","ENSG00000136379",0.5902,-0.3668,-0.4758,0.9954
"D6","ENSG00000207963",0.4323,0.6044,1.1431,0.9954
"D6","ENSG00000165757",0.1652,-6.1068,-5.3503,0.9954
"D6","ENSG00000204138",0.6702,2.0063,2.0935,0.9954
"D6","ENSG00000200563",0.3556,-2.9077,-1.2441,0.9954
"D6","ENSG00000255302",0.3519,4.1577,4.0395,0.9954
"D6","ENSG00000239350",0.6712,1.1845,1.2907,0.9954
"D6","ENSG00000214338",0.0052,-5.6156,-3.1152,0.5474
"D6","ENSG00000205978",0.4825,-5.3688,-4.8973,0.9954
"D6","ENSG00000252153",0.2181,0.2669,0.9587,0.9954
"D6","ENSG00000114251",0.3698,1.0617,1.1558,0.9954
"D6","ENSG00000284934",0.6148,-3.4467,-3.0221,0.9954
"D6","ENSG00000162804",0.3589,0.1891,0.3348,0.9954
"D6","ENSG00000123933",0.2085,1.8608,1.9711,0.9954
"D6","ENSG00000131475",0.2205,4.0948,4.0006,0.9954
"D6","ENSG00000177173",0.6805,4.4004,4.4571,0.9954
"D6","ENSG00000262533",0.8058,0.6441,0.7063,0.9954
"D6","ENSG00000111961",0.6101,-0.0531,-0.0047,0.9954
"D6","ENSG00000251634",0.7197,1.8929,2.3185,0.9954
"D6","ENSG00000199691",0.0214,1.1172,-0.0341,0.8549
"D6","ENSG00000163312",0.7951,2.0769,2.1117,0.9954
"D6","ENSG00000090661",0.7409,3.389,3.3639,0.9954
"D6","ENSG00000106624",0.5197,1.1548,1.0766,0.9954
"D6","ENSG00000115274",0.9917,2.6927,2.6877,0.9998
"D6","ENSG00000279716",0.2411,2.5748,2.7652,0.9954
"D6","ENSG00000105755",0.4585,2.7955,2.9112,0.9954
"D6","ENSG00000233270",0.426,-2.0956,-0.8254,0.9954
"D6","ENSG00000253483",0.4094,-3.5193,-2.2876,0.9954
"D6","ENSG00000221740",0.646,0.249,-0.0906,0.9954
"D6","ENSG00000226471",0.5234,1.0207,1.1405,0.9954
"D6","ENSG00000221214",0.3869,0.3187,-1.1775,0.9954
"D6","ENSG00000172602",0.7462,-0.1126,-0.0483,0.9954
"D6","ENSG00000137936",0.9613,0.5465,0.5388,0.9995
"D6","ENSG00000119446",0.6034,1.9541,2.0263,0.9954
"D6","ENSG00000164074",0.5237,1.2032,1.2813,0.9954
"D6","ENSG00000162728",0.6641,-3.0577,-3.3673,0.9954
"D6","ENSG00000218565",0.5637,-1.4526,-1.7558,0.9954
"D6","ENSG00000100105",0.622,2.935,2.9715,0.9954
"D6","ENSG00000113525",0.8996,-4.6965,-4.8292,0.9967
"D6","ENSG00000187134",0.4154,-6.2602,-5.9109,0.9954
"D6","ENSG00000182566",0.7836,-2.6774,-2.8281,0.9954
"D6","ENSG00000253666",0.1321,2.6949,2.4757,0.9954
"D6","ENSG00000280280",0.9918,1.3958,1.3998,0.9998
"D6","ENSG00000273365",0.2808,-5.4645,-6.6439,0.9954
"D6","ENSG00000254340",0.7947,-3.2047,-2.7444,0.9954
"D6","ENSG00000131089",0.9894,0.5914,0.5927,0.9998
"D6","ENSG00000146205",0.2052,-1.2424,-1.5996,0.9954
"D6","ENSG00000206077",0.9231,-3.5587,-3.6151,0.997
"D6","ENSG00000167447",0.7468,2.7726,2.864,0.9954
"D6","ENSG00000284669",0.4621,-3.2387,-1.4244,0.9954
"D6","ENSG00000223705",0.8438,3.1738,3.1938,0.9954
"D6","ENSG00000163406",0.8581,0.3482,0.3909,0.9954
"D6","ENSG00000132570",0.5123,0.4291,0.3544,0.9954
"D6","ENSG00000167615",0.3091,4.9006,4.8382,0.9954
"D6","ENSG00000237373",0.2869,-2.5704,-4.3538,0.9954
"D6","ENSG00000241959",0.5136,-0.7184,-1.1533,0.9954
"D6","ENSG00000113946",0.3558,-6.2228,-6.6439,0.9954
"D6","ENSG00000226149",0.9474,-2.758,-2.8293,0.9983
"D6","ENSG00000284959",0.3289,-3.897,-3.5034,0.9954
"D6","ENSG00000142178",0.5004,1.8543,1.7976,0.9954
"D6","ENSG00000229326",0.3546,-4.5695,-3.1047,0.9954
"D6","ENSG00000066117",0.9113,3.5671,3.5528,0.997
"D6","ENSG00000201794",0.6306,0.494,0.2741,0.9954
"D6","ENSG00000216141",0.2533,-1.307,-2.31,0.9954
"D6","ENSG00000214212",0.0704,0.8879,0.3351,0.9742
"D6","ENSG00000123838",0.1315,-5.9035,-4.6975,0.9954
"D6","ENSG00000100784",0.8533,-1.3741,-1.3996,0.9954
"D6","ENSG00000261342",0.6112,0.3268,0.1945,0.9954
"D6","ENSG00000198792",0.2465,2.081,1.8819,0.9954
"D6","ENSG00000248585",0.654,-1.8165,-1.5149,0.9954
"D6","ENSG00000283265",0.8138,-3.9792,-4.2837,0.9954
"D6","ENSG00000165948",0.85,0.5746,0.5252,0.9954
"D6","ENSG00000119608",0.0397,-0.2222,0.1017,0.952
"D6","ENSG00000247925",0.9296,1.4559,1.4656,0.997
"D6","ENSG00000232512",0.3047,-0.8021,-0.417,0.9954
"D6","ENSG00000141337",0.3231,2.4025,2.4866,0.9954
"D6","ENSG00000210196",0.4332,5.6241,5.352,0.9954
"D6","ENSG00000229474",0.9128,1.4555,1.4457,0.997
"D6","ENSG00000163032",0.4509,-3.031,-2.6216,0.9954
"D6","ENSG00000125780",0.2389,-5.6938,-6.6439,0.9954
"D6","ENSG00000180096",0.3706,3.6774,3.7555,0.9954
"D6","ENSG00000132321",0.6843,-5.7408,-5.4635,0.9954
"D6","ENSG00000181929",0.3635,2.8222,2.9187,0.9954
"F7","ENSG00000239951",0.7651,-1.2793,-0.8659,0.9934
"F7","ENSG00000211638",0.6654,-4.3313,-3.6413,0.9934
"F7","ENSG00000253333",0.7751,-2.2967,-2.8863,0.9934
"F7","ENSG00000230658",0.6775,-1.78,-1.9909,0.9934
"F7","ENSG00000237525",0.3912,-4.9723,-5.764,0.9934
"F7","ENSG00000183476",0.9859,-4.9379,-4.9237,0.9995
"F7","ENSG00000141858",0.6853,4.4369,4.4671,0.9934
"F7","ENSG00000101230",0.7794,-4.0556,-4.2768,0.9934
"F7","ENSG00000157837",0.0625,3.03,3.151,0.9934
"F7","ENSG00000146066",0.6611,5.8873,5.9293,0.9934
"F7","ENSG00000142512",0.6962,2.0791,2.0365,0.9934
"F7","ENSG00000183604",0.5663,2.8642,2.9085,0.9934
"F7","ENSG00000111266",0.9643,4.532,4.5342,0.9995
"F7","ENSG00000226747",0.714,-4.0659,-4.4111,0.9934
"F7","ENSG00000178522",0.434,-5.4324,-6.043,0.9934
"F7","ENSG00000264456",0.8054,0.4499,0.5116,0.9934
"F7","ENSG00000165475",0.141,2.2458,2.3858,0.9934
"F7","ENSG00000128512",0.3882,-1.7653,-1.6226,0.9934
"F7","ENSG00000204619",0.5704,3.7161,3.6436,0.9934
"F7","ENSG00000248019",0.5007,-1.7514,-1.5382,0.9934
"F7","ENSG00000232573",0.2349,2.6737,2.3238,0.9934
"F7","ENSG00000258388",0.7868,-0.6041,-0.5446,0.9934
"F7","ENSG00000181616",0.585,-1.0083,-0.7985,0.9934
"F7","ENSG00000167106",0.8169,4.0092,4.0762,0.9934
"F7","ENSG00000251568",0.0954,-1.2154,-2.1609,0.9934
"F7","ENSG00000135622",0.2558,0.1508,-0.0607,0.9934
"F7","ENSG00000140939",0.1593,2.4618,2.1874,0.9934
"F7","ENSG00000109814",0.445,3.0485,3.1266,0.9934
"F7","ENSG00000111445",0.046,1.7024,1.8521,0.9934
"F7","ENSG00000263001",0.8659,3.4083,3.3995,0.9934
"F7","ENSG00000265218",0.7652,0.3669,0.4468,0.9934
"F7","ENSG00000130684",0.0055,2.9993,2.4403,0.9934
"F7","ENSG00000214300",0.1046,2.2189,2.0547,0.9934
"F7","ENSG00000100567",0.1888,3.9409,4.0713,0.9934
"F7","ENSG00000275467",0.1998,-0.2982,0.1461,0.9934
"F7","ENSG00000160613",0.7456,2.9254,2.9394,0.9934
"F7","ENSG00000183308",0.9001,-0.9741,-0.9293,0.9958
"F7","ENSG00000277621",0.189,-3.8045,-1.9427,0.9934
"F7","ENSG00000211452",0.9066,-1.0063,-0.9776,0.9963
"F7","ENSG00000278419",0.202,-4.2334,-6.6439,0.9934
"F7","ENSG00000221944",0.4512,0.0207,1.5997,0.9934
"F7","ENSG00000183298",0.6374,-0.8317,-0.6692,0.9934
"F7","ENSG00000227541",0.4707,-1.2153,-0.217,0.9934
"F7","ENSG00000260317",0.5421,-1.6755,-2.0415,0.9934
"F7","ENSG00000260698",0.4649,-1.6873,-1.8747,0.9934
"F7","ENSG00000264071",0.3406,-2.4726,-1.2991,0.9934
"F7","ENSG00000261799",0.2921,2.1917,2.04,0.9934
"F7","ENSG00000046653",0.6613,-0.5787,-0.693,0.9934
"F7","ENSG00000108582",0.299,1.707,1.8038,0.9934
"F7","ENSG00000237991",0.3646,-2.9801,-4.3852,0.9934
"F7","ENSG00000070404",0.3138,0.1281,0.4247,0.9934
"F7","ENSG00000183337",0.6636,2.719,2.6766,0.9934
"F7","ENSG00000275379",0.7972,5.0056,4.9691,0.9934
"F7","ENSG00000103343",0.1243,1.8095,1.626,0.9934
"F7","ENSG00000100319",0.6425,1.4662,1.514,0.9934
"F7","ENSG00000204186",0.1768,2.1783,2.0287,0.9934
"F7","ENSG00000067334",0.2929,1.7732,1.3002,0.9934
"F7","ENSG00000112305",0.6838,2.3063,2.2653,0.9934
"F7","ENSG00000269066",0.6562,0.458,0.3395,0.9934
"F7","ENSG00000008282",0.471,3.0209,3.1153,0.9934
"F7","ENSG00000111832",0.5884,1.8754,1.8104,0.9934
"F7","ENSG00000155307",0.9432,3.8794,3.8706,0.9995
"F7","ENSG00000244730",0.8908,1.2001,1.1331,0.9934
"F7","ENSG00000231969",0.8131,-0.5698,-0.6856,0.9934
"F7","ENSG00000114948",0.6586,-1.9002,-1.9783,0.9934
"F7","ENSG00000143486",0.3413,3.9921,3.9307,0.9934
"F7","ENSG00000259088",0.3749,2.0221,2.2123,0.9934
"F7","ENSG00000130449",0.0712,1.52,1.3045,0.9934
"F7","ENSG00000283683",0.6967,-4.7338,-4.4049,0.9934
"F7","ENSG00000124789",0.5164,4.5367,4.4843,0.9934
"F7","ENSG00000274290",0.61,3.9107,3.8566,0.9934
"F7","ENSG00000176209",0.0573,1.8091,1.6226,0.9934
"F7","ENSG00000123094",0.5031,-6.0806,-5.7027,0.9934
"F7","ENSG00000279434",0.4701,-0.2862,-0.4304,0.9934
"F7","ENSG00000267375",0.1229,-0.6541,0.1179,0.9934
"F7","ENSG00000259999",0.8512,-0.2761,-0.1714,0.9934
"F7","ENSG00000198911",0.8901,5.4735,5.4819,0.9934
"F7","ENSG00000228923",0.7656,0.4849,0.5919,0.9934
"F7","ENSG00000133773",0.0366,2.529,2.2448,0.9934
