"gene_compare","log2fc_p","gene","compare"
"ENSG00000214300 D5/D6",0.00449615825232528,"ENSG00000214300","D5/D6"
"ENSG00000146426 D5/D6",0.0277323756116276,"ENSG00000146426","D5/D6"
"ENSG00000226132 D5/D6",0.811190337050108,"ENSG00000226132","D5/D6"
"ENSG00000168386 D5/D6",0.358389287047259,"ENSG00000168386","D5/D6"
"ENSG00000283265 D5/D6",0.641702436892315,"ENSG00000283265","D5/D6"
"ENSG00000148483 D5/D6",0.149595296059382,"ENSG00000148483","D5/D6"
"ENSG00000104808 D5/D6",0.0812404025090856,"ENSG00000104808","D5/D6"
"ENSG00000166143 D5/D6",0.50952539829992,"ENSG00000166143","D5/D6"
"ENSG00000229326 D5/D6",0.336659556322081,"ENSG00000229326","D5/D6"
"ENSG00000276926 D5/D6",0.0789138923549903,"ENSG00000276926","D5/D6"
"ENSG00000279117 D5/D6",0.577990596477718,"ENSG00000279117","D5/D6"
"ENSG00000197444 D5/D6",0.414185447609487,"ENSG00000197444","D5/D6"
"ENSG00000260914 D5/D6",0.998025837807703,"ENSG00000260914","D5/D6"
"ENSG00000144152 D5/D6",0.625049635618941,"ENSG00000144152","D5/D6"
"ENSG00000273474 D5/D6",0.59448673720435,"ENSG00000273474","D5/D6"
"ENSG00000211639 D5/D6",0.106312471264122,"ENSG00000211639","D5/D6"
"ENSG00000135048 D5/D6",0.758781264502648,"ENSG00000135048","D5/D6"
"ENSG00000275793 D5/D6",0.916708193117524,"ENSG00000275793","D5/D6"
"ENSG00000224735 D5/D6",0.620207522446526,"ENSG00000224735","D5/D6"
"ENSG00000212719 D5/D6",0.216034003229844,"ENSG00000212719","D5/D6"
"ENSG00000279208 D5/D6",0.239530244272173,"ENSG00000279208","D5/D6"
"ENSG00000180210 D5/D6",0.232458752903892,"ENSG00000180210","D5/D6"
"ENSG00000114251 D5/D6",0.716416478674559,"ENSG00000114251","D5/D6"
"ENSG00000227527 D5/D6",0.410338422100989,"ENSG00000227527","D5/D6"
"ENSG00000226747 D5/D6",0.110196642252864,"ENSG00000226747","D5/D6"
"ENSG00000180573 D5/D6",0.00160501048026956,"ENSG00000180573","D5/D6"
"ENSG00000184507 D5/D6",0.275500183123783,"ENSG00000184507","D5/D6"
"ENSG00000206731 D5/D6",0.0258279443086948,"ENSG00000206731","D5/D6"
"ENSG00000235763 D5/D6",0.000569694528293696,"ENSG00000235763","D5/D6"
"ENSG00000198795 D5/D6",0.18658847266384,"ENSG00000198795","D5/D6"
"ENSG00000162599 D5/D6",0.887910837399772,"ENSG00000162599","D5/D6"
"ENSG00000079215 D5/D6",0.467037174721568,"ENSG00000079215","D5/D6"
"ENSG00000279721 D5/D6",0.242670419544309,"ENSG00000279721","D5/D6"
"ENSG00000204025 D5/D6",0.553093293160442,"ENSG00000204025","D5/D6"
"ENSG00000229348 D5/D6",0.858877176576398,"ENSG00000229348","D5/D6"
"ENSG00000266079 D5/D6",0.325274321640513,"ENSG00000266079","D5/D6"
"ENSG00000180667 D5/D6",0.0374400825503135,"ENSG00000180667","D5/D6"
"ENSG00000260386 D5/D6",0.968738632416356,"ENSG00000260386","D5/D6"
"ENSG00000257355 D5/D6",0.859827207773835,"ENSG00000257355","D5/D6"
"ENSG00000161055 D5/D6",0.315965479137624,"ENSG00000161055","D5/D6"
"ENSG00000218565 D5/D6",0.843011220442751,"ENSG00000218565","D5/D6"
"ENSG00000280399 D5/D6",0.683464590227547,"ENSG00000280399","D5/D6"
"ENSG00000224648 D5/D6",0.605150783134437,"ENSG00000224648","D5/D6"
"ENSG00000184270 D5/D6",0.00171871719494108,"ENSG00000184270","D5/D6"
"ENSG00000143297 D5/D6",0.921400131816104,"ENSG00000143297","D5/D6"
"ENSG00000234678 D5/D6",0.658460761493961,"ENSG00000234678","D5/D6"
"ENSG00000137463 D5/D6",0.913681565851527,"ENSG00000137463","D5/D6"
"ENSG00000042813 D5/D6",0.264923079519924,"ENSG00000042813","D5/D6"
"ENSG00000181754 D5/D6",0.805514103586282,"ENSG00000181754","D5/D6"
"ENSG00000142178 D5/D6",0.118002335974295,"ENSG00000142178","D5/D6"
"ENSG00000273234 D5/D6",0.979904173301661,"ENSG00000273234","D5/D6"
"ENSG00000225988 D5/D6",0.11592278804428,"ENSG00000225988","D5/D6"
"ENSG00000266744 D5/D6",0.711669205911705,"ENSG00000266744","D5/D6"
"ENSG00000136379 D5/D6",0.720138654157981,"ENSG00000136379","D5/D6"
"ENSG00000227008 D5/D6",0.975696277292685,"ENSG00000227008","D5/D6"
"ENSG00000266302 D5/D6",0.329156154724631,"ENSG00000266302","D5/D6"
"ENSG00000214093 D5/D6",0.760043719562546,"ENSG00000214093","D5/D6"
"ENSG00000197140 D5/D6",0.756419438977934,"ENSG00000197140","D5/D6"
"ENSG00000272533 D5/D6",0.177456223159368,"ENSG00000272533","D5/D6"
"ENSG00000172602 D5/D6",0.608051738046143,"ENSG00000172602","D5/D6"
"ENSG00000274290 D5/D6",0.0443301628861133,"ENSG00000274290","D5/D6"
"ENSG00000214338 D5/D6",0.616291467678629,"ENSG00000214338","D5/D6"
"ENSG00000101187 D5/D6",0.101747578246294,"ENSG00000101187","D5/D6"
"ENSG00000260084 D5/D6",0.638417345812229,"ENSG00000260084","D5/D6"
"ENSG00000258137 D5/D6",0.801478865055065,"ENSG00000258137","D5/D6"
"ENSG00000226397 D5/D6",0.54615375043494,"ENSG00000226397","D5/D6"
"ENSG00000214215 D5/D6",0.724029430116827,"ENSG00000214215","D5/D6"
"ENSG00000140459 D5/D6",0.991878772607072,"ENSG00000140459","D5/D6"
"ENSG00000254641 D5/D6",0.0989666154197831,"ENSG00000254641","D5/D6"
"ENSG00000254099 D5/D6",0.338780280253643,"ENSG00000254099","D5/D6"
"ENSG00000252652 D5/D6",0.0997456836958625,"ENSG00000252652","D5/D6"
"ENSG00000263680 D5/D6",0.865361296354705,"ENSG00000263680","D5/D6"
"ENSG00000279476 D5/D6",0.0668850175580456,"ENSG00000279476","D5/D6"
"ENSG00000238273 D5/D6",0.14511406811434,"ENSG00000238273","D5/D6"
"ENSG00000186642 D5/D6",0.34120327402496,"ENSG00000186642","D5/D6"
"ENSG00000234006 D5/D6",0.482224634068344,"ENSG00000234006","D5/D6"
"ENSG00000198826 D5/D6",0.736089788187487,"ENSG00000198826","D5/D6"
"ENSG00000180998 D5/D6",0.32871813010431,"ENSG00000180998","D5/D6"
"ENSG00000269559 D5/D6",0.0700819558458893,"ENSG00000269559","D5/D6"
"ENSG00000261559 D5/D6",0.0423320445912418,"ENSG00000261559","D5/D6"
"ENSG00000235330 D5/D6",0.724309788859123,"ENSG00000235330","D5/D6"
"ENSG00000166743 D5/D6",0.346537691665205,"ENSG00000166743","D5/D6"
"ENSG00000211891 D5/D6",0.633552106706912,"ENSG00000211891","D5/D6"
"ENSG00000124097 D5/D6",0.0439894549207653,"ENSG00000124097","D5/D6"
"ENSG00000176753 D5/D6",0.36027340536741,"ENSG00000176753","D5/D6"
"ENSG00000168246 D5/D6",0.746399879909489,"ENSG00000168246","D5/D6"
"ENSG00000206652 D5/D6",0.822696871661211,"ENSG00000206652","D5/D6"
"ENSG00000110900 D5/D6",0.661408980789073,"ENSG00000110900","D5/D6"
"ENSG00000253893 D5/D6",0.828830563701554,"ENSG00000253893","D5/D6"
"ENSG00000156535 D5/D6",0.845817433165423,"ENSG00000156535","D5/D6"
"ENSG00000271204 D5/D6",0.0241252342825927,"ENSG00000271204","D5/D6"
"ENSG00000080573 D5/D6",0.862709110230524,"ENSG00000080573","D5/D6"
"ENSG00000211638 D5/D6",0.139569289165149,"ENSG00000211638","D5/D6"
"ENSG00000180815 D5/D6",0.11048013476308,"ENSG00000180815","D5/D6"
"ENSG00000055957 D5/D6",0.810597417059528,"ENSG00000055957","D5/D6"
"ENSG00000271697 D5/D6",0.121705276287493,"ENSG00000271697","D5/D6"
"ENSG00000285253 D5/D6",0.636918304159763,"ENSG00000285253","D5/D6"
"ENSG00000237868 D5/D6",0.698569250169711,"ENSG00000237868","D5/D6"
"ENSG00000285091 D5/D6",0.116235420303086,"ENSG00000285091","D5/D6"
"ENSG00000184523 D5/D6",0.117335468407421,"ENSG00000184523","D5/D6"
"ENSG00000182798 D5/D6",0.417120970305044,"ENSG00000182798","D5/D6"
"ENSG00000276903 D5/D6",0.0370874135955815,"ENSG00000276903","D5/D6"
"ENSG00000187122 D5/D6",0.132547428090923,"ENSG00000187122","D5/D6"
"ENSG00000113946 D5/D6",0.80783060718174,"ENSG00000113946","D5/D6"
"ENSG00000284959 D5/D6",0.417553612070613,"ENSG00000284959","D5/D6"
"ENSG00000241597 D5/D6",0.342151810949199,"ENSG00000241597","D5/D6"
"ENSG00000228955 D5/D6",0.471152910871116,"ENSG00000228955","D5/D6"
"ENSG00000165757 D5/D6",0.848460901086363,"ENSG00000165757","D5/D6"
"ENSG00000232060 D5/D6",0.199144260199113,"ENSG00000232060","D5/D6"
"ENSG00000264808 D5/D6",0.30922961286703,"ENSG00000264808","D5/D6"
"ENSG00000254802 D5/D6",0.160062880236121,"ENSG00000254802","D5/D6"
"ENSG00000255314 D5/D6",0.333739033887424,"ENSG00000255314","D5/D6"
