"","Var1","Freq","gene","compare","gene_compare","fc","medianp","uchar","ubb","us","uc","U"
1791,"ENSG00000176903 D5/D6",9,"ENSG00000176903","D5/D6","ENSG00000176903 D5/D6",0.829607336420116,0.00336459918011934,1.51981064054715,78.6408722690321,3.04463151948601,78.7144611663371,157.428922332674
1795,"ENSG00000177173 D5/D6",4,"ENSG00000177173","D5/D6","ENSG00000177173 D5/D6",0.868195790116258,0.0994397420984068,4.04397873596941,118.054912985159,3.04463151948601,118.163386990387,236.326773980774
1803,"ENSG00000178105 D5/D6",10,"ENSG00000178105","D5/D6","ENSG00000178105 D5/D6",1.36888196540077,0.000155337314706503,2.45021357331954,18.9884481599781,3.04463151948601,19.3864512267847,38.7729024535694
1817,"ENSG00000178718 D5/D6",6,"ENSG00000178718","D5/D6","ENSG00000178718 D5/D6",1.25146256728194,0.00597164963814207,5.53111669390674,10.2573309437886,3.04463151948601,12.0447445411459,24.0894890822918
1820,"ENSG00000178764 D5/D6",10,"ENSG00000178764","D5/D6","ENSG00000178764 D5/D6",1.19568052343836,0.00106881629275098,1.23412357811719,64.224387998407,3.04463151948601,64.30835758955,128.6167151791
1827,"ENSG00000179222 D5/D6",8,"ENSG00000179222","D5/D6","ENSG00000179222 D5/D6",0.807546315382197,0.00616510117761105,4.78284611776948,29.8321501491644,3.04463151948601,30.3661420104366,60.7322840208732
1829,"ENSG00000179304 D5/D6",4,"ENSG00000179304","D5/D6","ENSG00000179304 D5/D6",1.10397015025441,0.0568438464214538,4.66565304592425,41.6523140760205,3.04463151948601,42.0232479387523,84.0464958775046
1832,"ENSG00000179362 D5/D6",5,"ENSG00000179362","D5/D6","ENSG00000179362 D5/D6",0.408023986120042,0.0487910935097672,7.02776293667661,0.741062502848662,3.04463151948601,7.69469990426537,15.3893998085307
1834,"ENSG00000179454 D5/D6",10,"ENSG00000179454","D5/D6","ENSG00000179454 D5/D6",0.716935296551148,0.00221578940132856,1.73767099248124,20.7337437845597,3.04463151948601,21.0280149536595,42.056029907319
1841,"ENSG00000180096 D5/D6",4,"ENSG00000180096","D5/D6","ENSG00000180096 D5/D6",0.898072287113552,0.0683249944113977,1.99289062454285,52.7228109057287,3.04463151948601,52.8482372831116,105.696474566223
